,log10_facs
Gcn4Full_HOdGcn4_B07,3.371043858464239
Gcn4Full_HOdGcn4_C12,3.3889976604647636
Gcn4Full_HOdGcn4_B04,3.3945164904467444
Gcn4Full_HOdGcn4_D10,3.4112509139702047
Gcn4Full_HOdGcn4_D02,3.4273643727300542
Gcn4Full_HOdGcn4_C10,3.437829806408219
Gcn4Full_HOdGcn4_H12,3.441536465911333
Gcn4Full_HOdGcn4_B10,3.4635257040106926
Gcn4Full_HOdGcn4_B01,3.471125901751787
Gcn4Full_HOdGcn4_H07,3.4796609472377416
Gcn4Full_HOdGcn4_E10,3.49654497094935
Gcn4Full_HOdGcn4_G12,3.5039485676553044
Gcn4Full_HOdGcn4_B06,3.5149380360580293
Gcn4Full_HOdGcn4_E09,3.544716517587094
Gcn4Full_HOdGcn4_C06,3.5493270387077587
Gcn4Full_HOdGcn4_C05,3.566167516486068
Gcn4Full_HOdGcn4_E07,3.575103521186221
Gcn4Full_HOdGcn4_D05,3.5772090762279394
Gcn4Full_HOdGcn4_C07,3.5871955559846214
Gcn4Full_HOdGcn4_E08,3.598198290828901
Gcn4Full_HOdGcn4_H09,3.6048187510649403
Gcn4Full_HOdGcn4_C11,3.605475290488446
Gcn4Full_HOdGcn4_G06,3.6089756141506006
Gcn4Full_HOdGcn4_G03,3.6529257640380695
Gcn4Full_HOdGcn4_C09,3.6735185301627373
Gcn4Full_HOdGcn4_A03,3.701334363482679
Gcn4Full_HOdGcn4_F10,3.767824620005287
Gcn4Full_HOdGcn4_F02,3.7759066591556287
Gcn4Full_HOdGcn4_E01,3.7836856770269955
Gcn4Full_HOdGcn4_TEF,3.7927914739055892
Gcn4Full_HOdGcn4_F04,3.8026636082242398
Gcn4Full_HOdGcn4_TEF.2,3.8056884175016026
Gcn4Full_HOdGcn4_H01,3.812781730332483
Gcn4Full_HOdGcn4_F06,3.812897990332777
Gcn4Full_HOdGcn4_E04,3.813043296041501
Gcn4Full_HOdGcn4_C04,3.819016555309176
Gcn4Full_HOdGcn4_TEF.1,3.8243146102118066
Gcn4Full_HOdGcn4_A05,3.8300520533276945
Gcn4Full_HOdGcn4_F11,3.835604346711683
Gcn4Full_HOdGcn4_H06,3.889591892212626
