,log10_facs
Mig3Full_HOdMig3_D04,3.25632800584688
Mig3Full_HOdMig3_F10,3.2658551192960648
Mig3Full_HOdMig3_C05,3.291508709138042
Mig3Full_HOdMig3_A04,3.3042578171459596
Mig3Full_HOdMig3_H11,3.325125546278219
Mig3Full_HOdMig3_A02,3.328685336983151
Mig3Full_HOdMig3_A08,3.335020390650814
Mig3Full_HOdMig3_B02,3.336067298430619
Mig3Full_HOdMig3_B01,3.345207020136609
Mig3Full_HOdMig3_E07,3.3506336692778302
Mig3Full_HOdMig3_E09,3.3536565960173794
Mig3Full_HOdMig3_A10,3.3801135073882635
Mig3Full_HOdMig3_D05,3.381135845129983
Mig3Full_HOdMig3_D11,3.386522173726299
Mig3Full_HOdMig3_D08,3.3866772839608377
Mig3Full_HOdMig3_E02,3.4078665913214103
Mig3Full_HOdMig3_C02,3.454199799724275
Mig3Full_HOdMig3_B06,3.467921707900055
Mig3Full_HOdMig3_D03,3.477715846497706
Mig3Full_HOdMig3_G02,3.504776596038832
Mig3Full_HOdMig3_G09,3.573593274709738
Mig3Full_HOdMig3_F12,3.5939845926198988
Mig3Full_HOdMig3_A12,3.6542680321475087
Mig3Full_HOdMig3_H08,3.694707831374168
Mig3Full_HOdMig3_TEF,3.712354199597376
Mig3Full_HOdMig3_H02,3.722421652164126
Mig3Full_HOdMig3_F01,3.7448841646638615
Mig3Full_HOdMig3_E06,3.760442841972491
Mig3Full_HOdMig3_H05,3.7772339095698637
