,log10_facs
Yap1Full_HOdYap1_E01,3.394364112627129
Yap1Full_HOdYap1_B05,3.438931372116235
Yap1Full_HOdYap1_G03,3.440989326255398
Yap1Full_HOdYap1_B08,3.4551282182118004
Yap1Full_HOdYap1_A06,3.458559288316059
Yap1Full_HOdYap1_G04,3.476456262580324
Yap1Full_HOdYap1_B10,3.4765823996466585
Yap1Full_HOdYap1_A04,3.4784698259076676
Yap1Full_HOdYap1_C08,3.489135478386242
Yap1Full_HOdYap1_C07,3.489380460331752
Yap1Full_HOdYap1_E06,3.503000331353339
Yap1Full_HOdYap1_A09,3.50619238229163
Yap1Full_HOdYap1_A05,3.5187310200045494
Yap1Full_HOdYap1_F05,3.527342426456247
Yap1Full_HOdYap1_C06,3.579204907155807
Yap1Full_HOdYap1_C04,3.590991114606603
Yap1Full_HOdYap1_A01,3.7323310411480493
Yap1Full_HOdYap1_H05,3.744169723722393
Yap1Full_HOdYap1_H10,3.7538334543212146
Yap1Full_HOdYap1_TEF.1,4.019857069383614
Yap1Full_HOdYap1_B12,4.028505366800464
Yap1Full_HOdYap1_D04,4.029318411383322
Yap1Full_HOdYap1_G11,4.039941503346283
Yap1Full_HOdYap1_H01,4.041025747215004
Yap1Full_HOdYap1_F08,4.041335040152806
Yap1Full_HOdYap1_C02,4.045063502952966
Yap1Full_HOdYap1_F02,4.047373410803501
Yap1Full_HOdYap1_TEF.2,4.047982810531359
Yap1Full_HOdYap1_C12,4.049384550821777
Yap1Full_HOdYap1_TEF,4.05841197354333
Yap1Full_HOdYap1_G12,4.059368769147495
Yap1Full_HOdYap1_G06,4.0623574569947944
Yap1Full_HOdYap1_A10,4.064837845354039
Yap1Full_HOdYap1_H12,4.065276948142489
Yap1Full_HOdYap1_D01,4.068144644443617
Yap1Full_HOdYap1_H06,4.069917364936613
Yap1Full_HOdYap1_G07,4.07052808415746
Yap1Full_HOdYap1_C09,4.086545984520218
Yap1Full_HOdYap1_A07,4.090889116627245
Yap1Full_HOdYap1_B03,4.099056358211803
Yap1Full_HOdYap1_G02,4.1716891669985765
