,Gal11 MaxValue
PAU8,0.183777
SEO1,0.0375977
FLO9,1.526
GDH3,0.33783
BDH1,0.863525
ECM1,0.0712891
CNE1,0.187622
GPB2,0.0908907
PEX22,0.0136719
FLC2,0.991089
ACS1,0.991089
OAF1,0.567017
AIM2,0.143921
GEM1,0.0429077
SPC72,0.137207
BOL3,0.14917
GCV3,0.412598
ERV46,0.222595
PTA1,0.222595
CDC24,0.177002
CLN3,2.68091
CYC3,1.54388
CDC19,3.34167
FUN12,0.274414
RBG1,0.274414
MTW1,0.13562
POP5,0.173401
FUN19,0.173401
PRP45,0.134216
SNC1,-0.0264282
GIP4,-0.00518799
FRT2,0.660522
MYO4,0.660522
SAW1,-0.0288086
DRS2,0.274719
MAK16,0.0910034
LTE1,0.0402916
PMT2,0.415894
FUN26,0.229797
CCR4,0.22699
FUN30,0.33313
ATS1,0.33313
PSK1,0.168518
LDS1,0.168518
TPD3,-0.0391846
NTG1,0.23291
DEP1,0.242004
SYN8,0.242004
CYS3,0.71759
SWC3,0.34021
SPO7,0.134094
MDM10,0.134094
FUN14,0.216919
ERP2,0.29187
EFB1,4.34277
SSA1,4.34277
VPS8,0.598389
TFC3,0.259827
NUP60,0.259827
SWD1,0.276672
ERP1,0.276672
SEN34,0.0610962
RFA1,0.0610962
ADE1,0.313477
BUD14,0.313477
KIN3,0.143372
CDC15,-0.0311279
PAU7,0.048584
UIP3,0.659424
PRM9,-0.103088
MST28,0.00909712
YAT1,0.593079
SWH1,0.612793
FLO1,0.253906
PAU9,-0.101074
MIX23,0.1745
SRO77,-0.0377808
PKC1,0.147583
SEA4,0.0546265
SFT2,0.284912
RTG3,0.284912
ECM21,0.460083
ATP1,0.6568
BNA4,0.16217
BRN1,0.146973
RPL32,0.395386
ROX3,0.395386
SCS22,0.169189
MRP21,0.0941162
AVT5,0.163879
MAP2,0.163879
TEL1,0.38739
RPL23A,1.18121
BOI1,0.211914
CDC27,0.191406
ALG3,0.293213
NUP170,0.295788
PET112,0.295788
ATG8,0.258484
ILS1,0.668823
SSA3,0.273376
AAR2,1.21118
KTI11,0.528381
RPS8A,0.528381
AST1,0.481384
PRS4,0.227722
UBP13,0.198181
SEF1,0.0770466
KIP1,0.69281
PRX1,0.69281
YEL1,0.387207
SKT5,0.387207
SHP1,0.164001
CMC2,0.164001
PTC3,0.298218
PTH2,0.298218
TOD6,0.610779
YBL055C,0.610779
SAS3,0.166199
SEC17,0.191589
PIN4,0.185913
MOH1,0.0114136
PSY4,0.200195
EDE1,0.200195
ECM13,2.0661
COR1,2.0661
PRE7,3.97852
FUI1,3.97852
ERD2,0.271301
MRPL16,0.861511
URA7,0.861511
APL3,0.277222
YBL036C,0.179504
POL12,0.134583
STU1,0.207825
HEK2,1.06549
RIB1,1.06549
SHE1,0.0969238
PET9,1.36682
YBL029C-A,3.10022
RPL19B,0.497009
