name,dependence
TFC3,tail_independent
VPS8,tail_independent
EFB1,tail_dependent
YAL004W,not_checked
SSA1,tail_dependent
ERP2,tail_independent
FUN14,tail_independent
SPO7,tail_independent
MDM10,tail_independent
SWC3,tail_independent
CYS3,tail_independent
DEP1,tail_independent
SYN8,tail_independent
NTG1,tail_independent
TPD3,tail_independent
PSK1,tail_independent
LDS1,no_call
FUN30,tail_independent
ATS1,no_call
CCR4,tail_independent
FUN26,tail_independent
PMT2,tail_independent
LTE1,tail_independent
MAK16,tail_independent
DRS2,tail_independent
SAW1,tail_independent
FRT2,tail_independent
MYO4,tail_independent
SNC1,tail_independent
GIP4,tail_independent
PRP45,tail_independent
POP5,tail_independent
FUN19,tail_independent
FUN12,tail_independent
RBG1,tail_independent
YAL037W,no_call
CDC19,tail_dependent
CYC3,tail_independent
CLN3,tail_dependent
CDC24,tail_independent
ERV46,tail_independent
PTA1,tail_independent
GCV3,tail_dependent
YAL045C,not_checked
BOL3,tail_independent
SPC72,tail_independent
GEM1,tail_independent
AIM2,tail_independent
OAF1,tail_independent
FLC2,tail_independent
ACS1,no_call
PEX22,no_call
GPB2,tail_independent
CNE1,tail_independent
ECM1,tail_independent
BDH1,tail_dependent
BDH2,no_call
GDH3,no_call
FLO9,no_call
YAL064W,no_call
YAL065C,not_checked
YAL066W,not_checked
SEO1,no_call
PAU8,no_call
YAL069W,not_checked
NUP60,tail_independent
SWD1,tail_independent
RFA1,tail_independent
SEN34,tail_independent
YAR009C,not_checked
YAR010C,not_checked
BUD14,tail_independent
ADE1,tail_independent
KIN3,tail_independent
CDC15,tail_independent
PAU7,not_checked
YAR023C,no_call
UIP3,tail_independent
YAR028W,tail_independent
YAR029W,no_call
YAR030C,not_checked
PRM9,not_checked
MST28,no_call
YAT1,not_checked
SWH1,tail_independent
[],tail_independent
YAR047C,not_checked
FLO1,not_checked
YAR053W,not_checked
YAR060C,not_checked
YAR061W,not_checked
YAR062W,not_checked
YAR064W,not_checked
YAR066W,no_call
YAR068W,not_checked
YAR069C,not_checked
YAR070C,not_checked
PHO11,no_call
IMD1,not_checked
YAR075W,not_checked
ECM15,tail_independent
HTB2,tail_dependent
HTA2,tail_dependent
UTP20,tail_independent
PDR3,tail_independent
LDB7,tail_independent
SLA1,tail_independent
HIR1,tail_independent
ALK2,tail_independent
LAA2,tail_independent
SCT1,tail_independent
YBL012C,not_checked
FMT1,tail_independent
RRN6,tail_independent
ACH1,tail_independent
