name,med5-del vs. wt,med3-del vs. wt,med12-del vs. wt,med2-del vs. wt,med18-del vs. wt,med1-del vs. wt,med15-del vs. wt,med16-del vs. wt,med9-del vs. wt,med13-del vs. wt,med31-del vs. wt,med20-del vs. wt
TFC3,0.07711992,-0.040612636,0.18091166,0.068024118,-0.13127847,0.049226478,0.2621565,-0.045668176,0.019474196,0.11878496,-0.023983973,-0.087405315
VPS8,-0.025269532,-0.028027955,0.18233635,0.074121763,-0.0074679296,-0.050953705,0.16452886,-0.031090877,-0.00030299777,0.021309152,-0.02642105,-0.089836855
EFB1,-0.063416708,-0.0077739505,-0.92769385,-0.22980186,-0.027691136,-0.31304685,-0.34891569,0.0046955363,-0.39617358,-0.16940392,0.12798978,-0.41930842
YAL004W,0.017323333,-0.067529065,-0.18733092,-0.20624059,0.042125995,-0.038810842,-0.22757547,-0.13114733,-0.13562405,-0.048771805,0.036847922,-0.0066169236
SSA1,0.30672887,-0.37415722,-0.10723596,-0.26992789,0.0023352749,-0.010051566,-0.7855842,-0.0077971585,0.041411217,0.072393968,0.19752575,-0.14964381
ERP2,0.087394948,-0.041415641,0.1232424,0.0022344461,0.043512495,0.093452004,-0.036049495,0.1043635,0.11171242,0.16086857,-0.033576916,0.073833941
FUN14,0.076340177,0.25200382,0.36335053,0.42128525,0.043792434,0.16933498,0.4606587,0.44852041,0.37901093,0.52523702,-0.055609288,0.022161826
SPO7,-0.056528707,0.13405004,-0.11380262,0.17684613,0.2925933,-0.106571,0.24375437,0.10373261,0.0009951163,-0.056875329,0.14011113,0.25812088
MDM10,0.052012384,0.14561225,-0.0099847398,0.10410849,0.022076581,0.088100881,0.082702589,0.15313084,-0.031561199,0.041691564,0.065337932,0.066247663
SWC3,0.035483152,0.0030696724,0.01980153,0.066275222,0.055153997,-0.0018362762,0.037410338,0.029657835,-0.023107045,-0.094139279,0.00437914,-0.010491826
CYS3,0.15165103,0.46987556,-0.056035178,0.58652938,0.70267527,-0.090782964,0.70057288,0.35660585,0.034469292,-0.28676698,0.74552993,0.78610283
DEP1,0.10918669,-0.045217051,-0.14133145,0.040499712,0.057845335,0.056749984,0.044212241,0.035300147,-0.070987738,-0.0036474118,0.050285756,0.097435505
SYN8,0.036017958,-0.062993155,0.12232815,0.043064479,-0.00048482699,-0.1250866,-0.014996584,0.050313621,0.090541829,-0.011804686,0.051678359,0.11064387
NTG1,0.10147527,0.35731552,0.1655068,0.21998317,0.23680485,0.095073738,0.49938415,0.21819839,0.075190314,0.27615121,0.11147207,0.25666047
TPD3,0.038829463,-0.051316929,0.093154488,-0.02760437,0.17505826,0.092748686,-0.010109679,-0.040848593,0.14806204,0.14967559,0.18205661,0.23545749
PSK1,0.19922317,0.18542257,0.656295,0.18855285,0.20526738,0.32095828,0.31797547,0.29698006,0.50967558,0.59429056,0.27873416,0.27095944
LDS1,0.0058023771,0.17275632,0.0015140351,0.22929259,0.016653204,-0.025613129,0.8490625,0.0075399845,0.0094618379,0.013212111,0.099604921,-0.021663769
FUN30,0.0238089,0.14001949,0.050425077,-0.011320402,-0.057884156,0.057762173,0.013855263,0.032284255,-0.11898543,0.10203994,-0.062715878,-0.13502667
ATS1,0.014298155,-0.12070201,-0.11546459,0.032143171,0.026984146,-0.12794824,0.026105983,-0.036154522,-0.12831561,0.029799162,-0.035023297,0.029488224
CCR4,-0.069648694,-0.44600063,-0.083930043,-0.16914922,-0.30448717,-0.044130761,-0.15493153,-0.1520079,-0.032657246,-0.16990859,-0.19972586,-0.32149896
