name,Crz1,Cst6,Dot6,Gal4,Gcn4,Gln3,Ino2,Met31,Mig3,Msn2,Nrg2,Pdr8,Rpn4,Sko1,Vhr1,Yap1
TFC3,-0.0094095795,0.15563267,-0.074974349,-0.095217664,-0.033162033,0.13620451,0.039629739,-0.066431894,-0.045492473,0.056625144,0.075696914,0.018933221,-0.10503094,-0.051808846,0.053931527,-0.066820191
VPS8,0.019673452,0.23848117,-0.10181487,0.0091321495,-0.026497459,0.061402949,0.080412077,-0.027151507,-0.0049902466,0.063944657,-0.0092237182,-0.013238127,0.014698071,-0.0073098684,0.021749763,-0.015050522
EFB1,0.11736259,0.018021646,0.063102522,-0.10085841,0.29695657,0.0049399768,-0.55248851,0.065089724,-0.07099683,0.032707424,-0.0048266665,0.0046955363,0.12688037,0.018961699,0.072860402,-0.01191669
YAL004W,0.031804514,0.047733806,0.03290486,-0.13132114,0.064234459,0.084771828,0.082498227,0.0015860924,0.035483152,0.12632535,-0.056110171,0.07157048,0.20534246,0.020541315,0.053514539,-0.013423051
SSA1,0.11248663,0.5354558,0.16236474,-0.16275426,-0.209957,0.036749476,1.6557823,-0.040200175,-0.23115595,0.1521964,0.3081395,-0.11810989,0.71084279,-0.10320116,0.33211785,0.12452666
ERP2,-0.013035759,0.023865662,-0.035425409,0.023241156,-0.052722853,0.16801297,0.23624156,-0.0022263527,-0.041932413,0.091151421,-0.01912652,-0.038954606,0.13831645,-0.10912533,-0.045121782,0.020911066
FUN14,0.061444426,1.1216719,0.1276861,0.055667681,-0.17068622,0.24773312,0.60564604,-0.0053435272,-0.0087998116,-0.075095927,0.069152202,0.085968454,0.075368329,-0.057834599,-0.12738397,-0.082297872
SPO7,-0.048022864,-0.025058128,0.11597874,0.05166444,-0.046782448,-0.14352577,-0.10010359,0.089593062,-0.018194098,-0.026472479,-0.014563691,0.029276182,-0.073794063,0.041551397,0.0052849987,0.044953602
MDM10,-0.052383212,0.11359383,-0.017425814,-0.064063582,-0.060493563,-0.048500232,0.09441175,-0.020728243,0.013011961,0.025680873,-0.013342963,0.029898082,0.0068509361,0.0068222186,-0.010855178,0.032651008
SWC3,-0.063716737,-0.051645852,0.0012401845,-0.055567306,0.036622894,-0.042446399,0.01534056,0.0067935005,0.049937395,0.0037173599,-0.0020240777,-0.038117417,0.00054811998,0.013740945,0.029996996,-0.010403182
CYS3,0.12118785,-0.22506749,-0.065000479,-0.31188232,0.095397867,-0.020859971,0.10353121,0.1541684,0.046588843,0.15481649,0.029940475,0.082784326,0.18243806,0.080780441,-0.060137046,0.0083864892
DEP1,-0.11407428,-0.43809617,-0.088905175,0.068491967,0.026502639,-0.081775601,-0.051161464,0.13049602,0.091950274,-0.001846388,-0.062434135,0.0032712063,-0.084012617,0.011137783,-0.07246455,0.037157278
SYN8,0.056000784,-0.26288264,-0.042094314,0.052485453,0.013640911,-0.11974705,0.05640318,0.07631281,0.010622315,0.13705753,-0.093107866,-0.0010939775,-0.093992989,0.07231164,-0.0070184431,0.080125507
NTG1,0.02780517,0.21309216,0.15922874,0.035229754,0.015583204,0.075546322,0.28497601,0.049505311,0.067556117,-0.095408776,0.059535257,0.078855728,-0.063160451,0.036200872,-0.0088114238,-0.04268117
TPD3,0.03562391,0.31752405,-0.051481381,0.06388945,-0.051556138,0.18284482,0.23736792,-0.040526574,-0.071774475,-0.029829579,0.03138108,-0.08653801,-0.0079146549,-0.0005872964,-0.022087078,-0.0069024693
