name,opn_score
TFC3,-0.24156650827060222
VPS8,-0.29734675816630673
EFB1,-0.2653940576354952
YAL004W,
SSA1,1.437606320686002
ERP2,-0.09778704279820527
FUN14,-0.1892270736711854
SPO7,-1.2526850557705185
MDM10,-0.6310311360260066
SWC3,-0.9062406776459886
CYS3,-0.3516694643774816
DEP1,-0.3068903838240882
SYN8,-1.6977356929024827
NTG1,-0.5522041676673792
TPD3,-2.276821265352895
PSK1,-0.18998773450518236
LDS1,
FUN30,-0.644821229006534
ATS1,-0.8748776968199987
CCR4,-1.3167110450017905
FUN26,-0.9371413083609799
PMT2,-0.5889210508857632
LTE1,-1.332543981885121
MAK16,-0.34395966508725806
DRS2,-1.4272824512290843
SAW1,-0.7916249340522619
FRT2,-0.4661504017185605
MYO4,-0.01450247098282631
SNC1,-1.356915068068723
GIP4,-0.46046330218570475
PRP45,-0.7299254276391958
POP5,-1.243361519450235
FUN19,-0.7698276935615
FUN12,-1.5441348226142182
RBG1,0.2938266679738355
YAL037W,-0.4480288767076246
CDC19,-0.8567409856168311
CYC3,-0.5327544465004408
CLN3,0.43333673401166894
CDC24,0.8158024350095943
ERV46,-0.7659084890542793
PTA1,-0.4547361000589003
GCV3,-0.7664918679262032
YAL045C,
BOL3,-1.236115139172047
SPC72,-0.5260193159044704
GEM1,-0.8312929422413315
AIM2,-1.1367459896224146
OAF1,-0.13971013129511434
FLC2,0.8104543920691665
ACS1,0.6152692678025087
PEX22,-0.324573423818439
GPB2,-1.0762637499411305
CNE1,0.04986388447353196
ECM1,-1.2011872259553318
BDH1,-0.2481541233264064
BDH2,-0.13534431345033848
GDH3,-0.8437541200608827
FLO9,
YAL064W,
YAL065C,
YAL066W,
SEO1,-1.0058884537923642
PAU8,
YAL069W,
NUP60,-0.6355096883629736
SWD1,-1.5782064463786112
RFA1,-0.8734360495185802
SEN34,-0.5103576286946874
YAR009C,
YAR010C,
BUD14,-0.0061983128460152415
ADE1,-0.7081540450971646
KIN3,-1.1404251411551334
CDC15,-1.4440794831864459
PAU7,
YAR023C,-0.6986853789716045
UIP3,-0.9655124674284226
YAR028W,-0.9544798581300009
YAR029W,-0.8753467072716532
YAR030C,
PRM9,
MST28,-0.41480845753821427
YAT1,-0.8994486226151235
SWH1,0.31980512964924035
[],
YAR047C,
FLO1,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,
YAR066W,
YAR068W,
YAR069C,
YAR070C,
PHO11,
IMD1,
YAR075W,
ECM15,-0.4452255721774643
HTB2,0.4769716339540171
HTA2,0.3492746264831821
UTP20,-1.0592427577049213
PDR3,0.5502285332552814
LDB7,-1.2996305040304055
SLA1,-0.5428066098235043
HIR1,-0.5641680351587546
ALK2,-1.1742138815045475
LAA2,-0.23474468350581112
SCT1,-0.02601245625532389
YBL012C,
FMT1,-0.3206060030535882
RRN6,-1.0281530147538929
ACH1,0.8176017267171636
FUS3,
PEP1,-0.8267724211484841
POP8,-0.9299844925122853
APN2,-0.3019425155230646
RFT1,0.1277894936839532
HAP3,-1.5930658647202458
PIM1,0.6284712907473402
MCM2,-0.5417837007414743
NCL1,-0.03285978173489745
RRN10,-1.2871379896906463
LSM2,-1.3186857437073582
RPL19B,-0.35636714346220977
YBL028C,0.2548086274195098
YBL029W,-0.3163624441679618
PET9,0.29525404578400494
SHE1,0.39825273040905795
HEK2,0.08887982957401608
RIB1,-0.5752986093853263
STU1,0.08696920877581249
POL12,-1.4433174857332087
YBL036C,-0.7030386591404296
APL3,0.12077910491653032
MRPL16,0.37057838032997115
URA7,-0.4683463474830152
ERD2,-0.7840054327645856
PRE7,-0.8443852005427139
FUI1,1.131118598411109
ECM13,-0.2227743975872558
YBL044W,
COR1,1.229707785671474
PSY4,-1.800210614725004
EDE1,0.18489784359198946
RRT1,
MOH1,
SEC17,0.4825506963699553
PIN4,-1.6890557096015257
SAS3,-0.7866767294182342
YBL053W,
TOD6,-0.271693904831686
YBL055C,0.25455138227719143
PTC3,-0.4275979648883075
PTH2,-0.27602420198478583
SHP1,0.2930758944649021
IAI11,-1.5458554601596406
YEL1,-0.5267694696332716
SKT5,-0.6745438175468053
YBL062W,
KIP1,-0.5321481767919103
PRX1,0.24230735135855586
YBL065W,
SEF1,-1.0363824090915594
UBP13,-0.6046017500440719
PRS4,-0.10056593651298318
AST1,-1.4550908737654185
YBL070C,
YBL071C,-1.406642222535469
RPS8A,-0.8759367578462323
YBL073W,
AAR2,-0.05082431170930768
SSA3,-0.7860435774127001
ILS1,-0.30470907921732326
YBL077W,
ATG8,-1.0020553912781711
NUP170,-1.5516478013737522
PET112,-0.640767894108528
YBL081W,-1.5039789089298328
ALG3,-0.8611253667351928
YBL083C,-0.8611253667351928
CDC27,-1.0942224030254275
BOI1,0.20146008614077715
YBL086C,-0.24667425706200063
RPL23A,0.3470744901453635
TEL1,-0.9645860482954394
AVT5,-1.5053760431881802
MRP21,-0.5732059253479438
MAP2,-1.080624417982877
RPL32,0.32495017961584516
ROX3,1.3733953660164175
YBL094C,1.130050269953748
MRX3,-1.0394114290879433
YBL096C,
BRN1,0.8707562877663673
BNA4,-0.5500691305500665
ATP1,0.7035228172877783
YBL100C,
ECM21,-0.8256711200496207
SFT2,-1.1165901839106738
RTG3,-0.04217474628127604
SEA4,-0.6290590724253349
PKC1,-0.6877807458831882
SRO77,-0.608262640460989
MIX23,-1.156844037349698
YBL108W,
YBL109W,
YBL111C,
YBL112C,
YBL113C,
NTH2,-0.2119630165156643
RER2,-1.4238733310924756
COQ1,-0.4314944650361108
GPI18,-0.9843678431953373
RCR1,-0.4556978987709117
UGA2,0.746353494659802
DSF2,0.7736152138101602
FLR1,-0.3235488945752021
HHF1,0.00231390024724476
HHT1,-0.608775783095103
IPP1,-1.504999936422367
YBR012C,
YBR013C,
GRX7,-0.5877050095137708
MNN2,-0.8355104564127549
YBR016W,-0.37121653602339677
KAP104,-0.7544460539390796
GAL7,0.1817650277367333
GAL10,0.37197757554992084
GAL1,-0.7307799560463275
FUR4,1.7295760060873882
POA1,-0.8353187561230451
CHS3,0.4244443573915211
SCO2,-0.7249135621423743
OLA1,0.3640222321140847
ETR1,-0.27626854716881866
