name,opn_score
TFC3,0.08387098826949835
VPS8,-1.022741846000069
EFB1,-0.4038792394320492
YAL004W,
SSA1,1.7196483130203655
ERP2,-1.2761716812328023
FUN14,-0.31749421224447794
SPO7,-0.4915709796872818
MDM10,-0.41340669886792547
SWC3,-1.5562730013391466
CYS3,-1.453054533239266
DEP1,-2.3077341222410954
SYN8,-2.9839265557149446
NTG1,-0.03929535900527181
TPD3,-1.4338409390215698
PSK1,-1.737211547636961
LDS1,
FUN30,-1.9054881483638377
ATS1,-2.0065969202529947
CCR4,-1.658448624821709
FUN26,-1.7331625328083407
PMT2,-1.405152390601999
LTE1,-2.0176061400269827
MAK16,-0.9069210524893636
DRS2,-1.1673640410880806
SAW1,-0.6658637596838259
FRT2,-1.1987760128014635
MYO4,-0.8241393690603882
SNC1,-3.528101250403539
GIP4,-2.5659090888645286
PRP45,-1.5570727848216208
POP5,-0.0682746647275918
FUN19,
FUN12,-3.0724622751063926
RBG1,-0.9866923314742513
YAL037W,
CDC19,-0.22772563577530835
CYC3,-0.7526726636215297
CLN3,0.3355992410703186
CDC24,-0.554525300238712
ERV46,-2.342970947619386
PTA1,-1.8396829433936377
GCV3,-1.6563099290635863
YAL045C,
BOL3,0.09865281452521746
SPC72,-0.13724704630530749
GEM1,-0.5046105197720845
AIM2,-1.686098604990768
OAF1,-1.3250100403988236
FLC2,0.9395057803243017
ACS1,2.3181374645103556
PEX22,-1.6996028941706323
GPB2,-2.5136367334288012
CNE1,-0.283597226125365
ECM1,-1.7678405229769831
BDH1,0.04216719530799384
BDH2,
GDH3,0.5276750831564847
FLO9,
YAL064W,
YAL065C,
YAL066W,
SEO1,-0.4450726212636864
PAU8,
YAL069W,
NUP60,-1.8414077818494663
SWD1,-1.9569881922421573
RFA1,-2.2867455131152497
SEN34,-2.1376792446332136
YAR009C,
YAR010C,
BUD14,-1.1528570063177375
ADE1,-0.9039563898889558
KIN3,-1.5291562952988205
CDC15,-0.9610956786938223
PAU7,
YAR023C,
UIP3,-1.4334488455649872
YAR028W,
YAR029W,
YAR030C,
PRM9,
MST28,-0.6062830459576087
YAT1,
SWH1,-0.44344918137720235
[],
YAR047C,
FLO1,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,
YAR066W,
YAR068W,
YAR069C,
YAR070C,
PHO11,
IMD1,
YAR075W,
ECM15,-1.0733975746481867
HTB2,1.3484905002260863
HTA2,1.4543199373801734
UTP20,-2.1809282058207886
PDR3,0.27005985222354667
LDB7,-1.885370156181275
SLA1,-0.8504818223590132
HIR1,-0.6076034488426698
ALK2,-2.319345587809029
LAA2,
SCT1,-0.6325688146902833
YBL012C,
FMT1,-1.8305427783641672
RRN6,-2.2182460360982263
ACH1,2.121797653410807
FUS3,-0.6978753255417764
PEP1,-1.6913428356229554
POP8,-2.0110359553687793
APN2,-0.1918450555564153
RFT1,-1.2814042977080762
HAP3,-3.6951597619722234
PIM1,-0.36235076352661366
MCM2,-1.187546237693745
NCL1,-0.8948870007488532
RRN10,-0.6984963393637003
LSM2,-0.9670602947545355
RPL19B,-0.12219438305262997
