,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CYS3,1984.784386,0.199054767,0.153122344,1.29997205,0.193610549,0.315899512
YAL069W,0.0,,,,,
YAL068W-A,0.0,,,,,
PAU8,2.368543297,0.896504698,0.979704074,0.915077034,0.360151191,
YAL067W-A,0.0,,,,,
SEO1,53.16664566,0.715212083,0.264078632,2.70833001,0.006762274,0.066359153
YAL066W,1.439607209,1.205671022,1.581248878,0.762480239,0.445773433,
YAL065C,1.397999678,0.778608233,1.619480726,0.480776474,0.630675372,
YAL064W-B,50.35358113,0.425697319,0.2642816,1.610771686,0.107229494,0.23963522
TDA8,9.678304962,0.731073775,0.489265097,1.494228342,0.135115947,0.264757346
YAL064W,3.253483182,-0.088472079,0.831508542,-0.106399483,0.915265403,
YAL063C-A,17.6973145,0.61594546,0.407182004,1.512703051,0.130355104,0.260472881
FLO9,41.76111722,0.290437269,0.264322461,1.098799051,0.271855726,0.384409575
GDH3,68.61189364,0.70800042,0.245981661,2.878265059,0.00399869,0.049043256
BDH2,129.8521862,-0.558871588,0.16228764,-3.443710124,0.000573791,0.012975287
BDH1,799.2529198,0.007925701,0.139319389,0.056888718,0.954633842,0.965562139
YAL059C-A,3.374204365,-0.094294581,0.881597859,-0.106958722,0.914821727,
ECM1,435.210001,0.167930381,0.179447846,0.935817203,0.349367313,0.450342323
CNE1,334.3945427,0.280604515,0.163435434,1.716913579,0.085994964,0.217866452
YAL056C-A,2.083610743,2.512767252,1.36348799,1.842896505,0.065344123,
GPB2,986.8471737,0.225517997,0.127912393,1.763066049,0.077889351,0.209062597
PEX22,155.7733536,0.271510165,0.176258347,1.540410251,0.123460384,0.255423792
ACS1,95.79379551,0.313097719,0.219397405,1.427080319,0.153556745,0.283101909
FLC2,2037.815553,-0.018935878,0.139622437,-0.135622025,0.892120093,0.914715412
OAF1,608.0136664,0.272032649,0.134068664,2.029054678,0.042452721,0.16409036
AIM2,440.4786128,0.293470874,0.144335576,2.033253904,0.042026878,0.163322876
GEM1,461.8753366,0.226053559,0.149591831,1.511135715,0.130753877,0.260472881
YAL047W-A,1.747146782,0.155814194,1.260714189,0.123592004,0.901638324,
SPC72,254.7795223,0.295018572,0.156820841,1.881245953,0.059938469,0.186671959
BOL3,137.3414358,0.30318029,0.187593726,1.616153677,0.106061091,0.238071988
YAL045C,0.715941814,-0.626657196,2.109101494,-0.297120455,0.766374548,
BOL1,131.17351,0.145059392,0.207944281,0.697587792,0.485435018,0.569439376
GCV3,171.0674671,-0.268543099,0.194251412,-1.382451208,0.166833202,0.293377098
PTA1,954.1730255,0.302312264,0.13424905,2.251876384,0.024330085,0.127229944
YAL042C-A,2.092555914,-0.911899531,1.119431966,-0.814609157,0.415296067,
ERV46,1383.167176,0.461452773,0.209639388,2.201174012,0.027723707,0.133967063
CDC24,996.1723228,0.171356724,0.135286928,1.266617009,0.205292268,0.325599161
CLN3,1149.573485,-0.06022396,0.146407389,-0.41134509,0.680819511,0.73879799
CYC3,621.3839257,0.31505266,0.207011601,1.521908237,0.128032075,0.257711294
CDC19,19376.10238,-1.086325739,0.153770486,-7.064591966,1.61e-12,2.27e-10
YAL037C-B,5.628344246,-0.959272503,0.749983932,-1.279057407,0.200876841,
YAL037C-A,0.474681909,2.123158499,2.452265069,0.865794863,0.386602667,
YAL037W,77.64268429,0.0928252,0.247207817,0.375494598,0.707292663,0.762868137
RBG1,1283.192598,0.220148346,0.15827249,1.390945113,0.164242071,0.290597388
FUN12,3674.264673,0.193605241,0.147753951,1.310321918,0.190086956,0.312706277
YAL034C-B,0.543719317,0.278312453,2.133162703,0.130469397,0.896195064,
MTW1,233.7306288,0.145920989,0.163525346,0.892344781,0.372208159,0.472628434
FUN19,252.859894,0.195645271,0.145522236,1.344435582,0.178807574,0.303036908
POP5,154.9387047,0.09953322,0.179631422,0.554096933,0.579512509,0.653347254
