,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,119161,119167,1,+,PSK1,119164,119064,119264
1,36489,36496,1,+,ECM1,36492,36392,36592
2,188010,188017,1,+,MST28,188014,187914,188114
3,76287,76294,1,-,RBG1,76290,76190,76390
4,68268,68275,1,-,CLN3,68272,68172,68372
5,58600,58607,1,-,GCV3,58604,58504,58704
6,71401,71408,2,+,YBL081W,71404,71304,71504
7,71437,71444,2,+,YBL081W,71440,71340,71540
8,48770,48777,2,+,MRP21,48774,48674,48874
9,379999,380006,2,+,YBR071W,380002,379902,380102
10,408849,408856,2,+,TEC1,408852,408752,408952
11,454689,454696,2,+,AIM3,454692,454592,454792
12,544650,544657,2,+,APD1,544654,544554,544754
13,556241,556248,2,+,AMN1,556244,556144,556344
14,595843,595850,2,+,YPC1,595846,595746,595946
15,620710,620717,2,+,BEM1,620714,620614,620814
16,651197,651204,2,+,SDS24,651200,651100,651300
17,490685,490692,2,+,MEO1,490688,490588,490788
18,490685,490692,2,+,YBR126W-B,490688,490588,490788
19,135810,135817,2,-,COR1,135814,135714,135914
20,71401,71408,2,-,ALG3,71404,71304,71504
21,71437,71444,2,-,ALG3,71440,71340,71540
22,71401,71408,2,-,YBL083C,71404,71304,71504
23,71437,71444,2,-,YBL083C,71440,71340,71540
24,62754,62761,2,-,YBL086C,62758,62658,62858
25,48770,48777,2,-,MAP2,48774,48674,48874
26,275730,275737,2,-,GAL7,275734,275634,275834
27,276095,276102,2,-,GAL7,276098,275998,276198
28,337028,337035,2,-,REB1,337032,336932,337132
29,338610,338617,2,-,REG2,338614,338514,338714
30,371148,371155,2,-,NRG2,371152,371052,371252
31,373144,373151,2,-,TIP1,373148,373048,373248
32,378798,378805,2,-,TAT1,378802,378702,378902
33,378800,378807,2,-,TAT1,378804,378704,378904
34,379999,380006,2,-,ALG14,380002,379902,380102
35,407803,407810,2,-,UBC4,407806,407706,407906
36,431162,431169,2,-,PHO5,431166,431066,431266
37,444915,444922,2,-,FES1,444918,444818,445018
38,454689,454696,2,-,IML3,454692,454592,454792
39,490685,490692,2,-,TPS1,490688,490588,490788
40,544650,544657,2,-,TBS1,544654,544554,544754
41,586421,586428,2,-,EHT1,586424,586324,586524
42,798953,798960,2,-,PHO89,798956,798856,799056
43,595843,595850,2,-,YBR182C-A,595846,595746,595946
44,211801,211808,3,+,ARE1,211804,211704,211904
45,40796,40803,3,+,YCL048W-A,40800,40700,40900
46,83381,83388,3,+,YCL021W-A,83384,83284,83484
47,47147,47154,3,-,EMC1,47150,47050,47250
48,47613,47620,3,-,EMC1,47616,47516,47716
49,40796,40803,3,-,YCL049C,40800,40700,40900
50,122484,122491,3,-,CIT2,122488,122388,122588
51,133534,133541,3,-,ADY2,133538,133438,133638
52,133536,133543,3,-,ADY2,133540,133440,133640
53,133641,133648,3,-,ADY2,133644,133544,133744
54,147831,147838,3,-,CWH43,147834,147734,147934
55,148326,148333,3,-,CWH43,148330,148230,148430
56,165565,165572,3,-,YCR025C,165568,165468,165668
57,176594,176601,3,-,SYP1,176598,176498,176698
58,211801,211808,3,-,BUD23,211804,211704,211904
