,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,141935,141943,1,+,EFB1,141939,141839,142039
1,45430,45438,1,+,FLC2,45434,45334,45534
2,192369,192377,1,+,SWH1,192373,192273,192473
3,141935,141943,1,-,SSA1,141939,141839,142039
4,113418,113423,1,-,CCR4,113420,113320,113520
5,84505,84513,1,-,PRP45,84509,84409,84609
6,45430,45438,1,-,ACS1,45434,45334,45534
7,171898,171906,1,-,KIN3,171902,171802,172002
8,175295,175303,1,-,CDC15,175299,175199,175399
9,180920,180928,1,-,YAR023C,180924,180824,181024
10,24066,24074,1,-,YAL063C-A,24070,23970,24170
11,236136,236144,2,+,HTB2,236140,236040,236240
12,217231,217239,2,+,PDR3,217235,217135,217335
13,161582,161590,2,+,SHE1,161586,161486,161686
14,159789,159797,2,+,HEK2,159793,159693,159893
15,140746,140754,2,+,PRE7,140750,140650,140850
16,136420,136428,2,+,ECM13,136424,136324,136524
17,110605,110613,2,+,IAI11,110609,110509,110709
18,45425,45433,2,+,RPL32,45429,45329,45529
19,270087,270095,2,+,YBR016W,270091,269991,270191
20,283550,283558,2,+,POA1,283554,283454,283654
21,381527,381535,2,+,HSP26,381531,381431,381631
22,392560,392568,2,+,ECM33,392564,392464,392664
23,467029,467037,2,+,RAD16,467033,466933,467133
24,504512,504520,2,+,CKS1,504516,504416,504616
25,537585,537593,2,+,YSW1,537589,537489,537689
26,602343,602351,2,+,GDT1,602347,602247,602447
27,606134,606142,2,+,RPL21A,606138,606038,606238
28,650294,650297,2,+,MET8,650296,650196,650396
29,704308,704316,2,+,YBR242W,704312,704212,704412
30,565064,565072,2,+,YSY6,565068,564968,565168
31,350962,350970,2,+,MNC1,350966,350866,351066
32,606134,606142,2,+,YBR191W-A,606138,606038,606238
33,684860,684868,2,+,DAD3,684864,684764,684964
34,236136,236144,2,-,HTA2,236140,236040,236240
35,217231,217239,2,-,LDB7,217235,217135,217335
36,216740,216748,2,-,SLA1,216744,216644,216844
37,159789,159797,2,-,RIB1,159793,159693,159893
38,140746,140754,2,-,FUI1,140750,140650,140850
39,45425,45433,2,-,YBL094C,45429,45329,45529
40,270087,270095,2,-,MNN2,270091,269991,270191
41,288168,288176,2,-,CHS3,288172,288072,288272
42,288174,288182,2,-,CHS3,288178,288078,288278
43,338538,338546,2,-,REG2,338542,338442,338642
44,371085,371093,2,-,NRG2,371089,370989,371189
45,375959,375967,2,-,BAP2,375963,375863,376063
46,392560,392568,2,-,SLM4,392564,392464,392664
47,504512,504520,2,-,HSL7,504516,504416,504616
48,565064,565072,2,-,TOS1,565068,564968,565168
49,600281,600289,2,-,MBA1,600285,600185,600385
50,643062,643070,2,-,"DUR1,2",643066,642966,643166
51,662507,662515,2,-,PYC2,662511,662411,662611
52,662681,662689,2,-,PYC2,662685,662585,662785
53,700209,700217,2,-,ERT1,700213,700113,700313
54,704308,704316,2,-,YBR241C,704312,704212,704412
55,110605,110613,2,-,CMC2,110609,110509,110709
56,50453,50461,3,+,GLK1,50457,50357,50557
57,236688,236696,3,+,ATG15,236692,236592,236792
58,105722,105730,3,-,ILV6,105726,105626,105826
59,103931,103939,3,-,GBP2,103935,103835,104035
60,103961,103969,3,-,GBP2,103965,103865,104065
61,47640,47645,3,-,EMC1,47642,47542,47742
62,122585,122593,3,-,CIT2,122589,122489,122689
63,131713,131721,3,-,RVS161,131717,131617,131817
64,148360,148363,3,-,CWH43,148362,148262,148462
65,177080,177088,3,-,SYP1,177084,176984,177184
66,177142,177150,3,-,SYP1,177146,177046,177246
67,236688,236696,3,-,SED4,236692,236592,236792
68,305823,305831,3,-,YCR102C,305827,305727,305927
69,433346,433354,4,+,APC11,433350,433250,433450
70,432047,432055,4,+,GRX6,432051,431951,432151
71,345333,345341,4,+,USO1,345337,345237,345437
72,330823,330831,4,+,BDF2,330827,330727,330927
73,137954,137962,4,+,PCL9,137958,137858,138058
74,117463,117471,4,+,RPL35A,117467,117367,117567
75,20363,20371,4,+,YDL241W,20367,20267,20467
76,1679,1687,4,+,COS7,1683,1583,1783
77,462747,462755,4,+,GAL3,462751,462651,462851
78,524770,524778,4,+,KRS1,524774,524674,524874
79,545921,545929,4,+,HEM13,545925,545825,546025
80,591827,591835,4,+,SNF11,591831,591731,591931
81,593348,593356,4,+,TPS2,593352,593252,593452
82,611955,611963,4,+,RRP8,611959,611859,612059
83,699750,699758,4,+,YDR124W,699754,699654,699854
84,703804,703812,4,+,ARO1,703808,703708,703908
85,765445,765453,4,+,GIR2,765449,765349,765549
86,806046,806054,4,+,HSP42,806050,805950,806150
87,806350,806358,4,+,HSP42,806354,806254,806454
88,960192,960200,4,+,PAM1,960196,960096,960296
89,1063113,1063121,4,+,CFT1,1063117,1063017,1063217
90,1229732,1229740,4,+,RGA2,1229736,1229636,1229836
91,1258549,1258557,4,+,SPT3,1258553,1258453,1258653
92,1261564,1261572,4,+,RPT3,1261568,1261468,1261668
93,1421004,1421012,4,+,KRE2,1421008,1420908,1421108
94,1468853,1468861,4,+,SMT3,1468857,1468757,1468957
95,432047,432055,4,-,YDL012C,432051,431951,432151
96,410387,410395,4,-,DIA3,410391,410291,410491
97,366280,366288,4,-,KNH1,366284,366184,366384
98,345333,345341,4,-,RAD59,345337,345237,345437
99,330823,330831,4,-,YET3,330827,330727,330927
100,314973,314981,4,-,MRK1,314977,314877,315077
101,315204,315212,4,-,MRK1,315208,315108,315308
102,315214,315222,4,-,MRK1,315218,315118,315318
103,285250,285258,4,-,SNU23,285254,285154,285354
104,255239,255247,4,-,IWR1,255243,255143,255343
105,221472,221480,4,-,PPH21,221476,221376,221576
106,483958,483966,4,-,YDR018C,483962,483862,484062
107,485721,485729,4,-,GCV1,485725,485625,485825
108,485979,485987,4,-,GCV1,485983,485883,486083
109,524770,524778,4,-,EHD3,524774,524674,524874
110,560790,560798,4,-,DBF4,560794,560694,560894
111,591827,591835,4,-,IPT1,591831,591731,591931
112,618803,618811,4,-,RRP1,618807,618707,618907
113,699750,699758,4,-,INO2,699754,699654,699854
114,765445,765453,4,-,CTH1,765449,765349,765549
115,845483,845491,4,-,NUP42,845487,845387,845587
116,960192,960200,4,-,YDR249C,960196,960096,960296
117,1016128,1016136,4,-,MTH1,1016132,1016032,1016232
118,1032136,1032144,4,-,DPP1,1032140,1032040,1032240
119,1063113,1063121,4,-,PRO1,1063117,1063017,1063217
120,1108126,1108131,4,-,SWA2,1108128,1108028,1108228
121,1117113,1117114,4,-,UTP4,1117114,1117014,1117214
122,1156598,1156606,4,-,HXT7,1156602,1156502,1156702
123,1229732,1229740,4,-,LSM6,1229736,1229636,1229836
124,1242355,1242363,4,-,ATO3,1242359,1242259,1242459
125,1258549,1258557,4,-,YDR391C,1258553,1258453,1258653
126,1421004,1421012,4,-,CWC21,1421008,1420908,1421108
127,1468853,1468861,4,-,GNP1,1468857,1468757,1468957
128,123311,123319,5,+,GTT3,123315,123215,123415
129,100141,100149,5,+,VMA3,100145,100045,100245
130,94119,94127,5,+,ECM10,94123,94023,94223
131,69144,69152,5,+,IES6,69148,69048,69248
132,69520,69528,5,+,IES6,69524,69424,69624
133,42943,42951,5,+,PCM1,42947,42847,43047
134,27357,27365,5,+,SIT1,27361,27261,27461
135,174603,174611,5,+,TIR1,174607,174507,174707
136,192236,192244,5,+,ISC1,192240,192140,192340
137,194798,194806,5,+,GPA2,194802,194702,194902
138,194931,194939,5,+,GPA2,194935,194835,195035
139,222265,222273,5,+,EDC2,222269,222169,222369
140,225606,225614,5,+,PHM8,225610,225510,225710
141,274425,274433,5,+,FCY21,274429,274329,274529
142,280955,280963,5,+,THO1,280959,280859,281059
143,289226,289234,5,+,RRT13,289230,289130,289330
144,291833,291841,5,+,RGI1,291837,291737,291937
145,302784,302787,5,+,VTC1,302786,302686,302886
146,306074,306082,5,+,RPS24A,306078,305978,306178
147,306080,306088,5,+,RPS24A,306084,305984,306184
148,328284,328292,5,+,ILV1,328288,328188,328388
149,349530,349538,5,+,RAD51,349534,349434,349634
150,409497,409505,5,+,RSP5,409501,409401,409601
151,462124,462132,5,+,LSM5,462128,462028,462228
152,462143,462151,5,+,LSM5,462147,462047,462247
153,484563,484571,5,+,COG3,484567,484467,484667
154,545207,545215,5,+,BMH1,545211,545111,545311
155,150151,150159,5,-,WBP1,150155,150055,150255
156,69144,69152,5,-,GLY1,69148,69048,69248
157,69520,69528,5,-,GLY1,69524,69424,69624
158,42153,42161,5,-,PRB1,42157,42057,42257
159,42306,42314,5,-,PRB1,42310,42210,42410
160,192236,192244,5,-,AFG3,192240,192140,192340
161,192679,192683,5,-,SPC25,192681,192581,192781
162,225606,225614,5,-,ARB1,225610,225510,225710
163,266310,266318,5,-,HIS1,266314,266214,266414
164,280955,280963,5,-,GPP2,280959,280859,281059
165,302784,302788,5,-,TDA2,302786,302686,302886
166,311540,311548,5,-,PTP3,311544,311444,311644
167,328284,328292,5,-,YER085C,328288,328188,328388
168,349530,349538,5,-,PUP3,349534,349434,349634
169,409497,409505,5,-,DSE1,409501,409401,409601
170,462124,462132,5,-,FTR1,462128,462028,462228
171,462143,462151,5,-,FTR1,462147,462047,462247
172,474307,474315,5,-,YER152C,474311,474211,474411
173,474539,474547,5,-,YER152C,474543,474443,474643
174,474639,474647,5,-,YER152C,474643,474543,474743
175,474708,474716,5,-,YER152C,474712,474612,474812
176,484563,484571,5,-,YER156C,484567,484467,484667
177,491184,491192,5,-,YER158C,491188,491088,491288
178,42943,42951,5,-,SOM1,42947,42847,43047
179,239466,239474,5,-,MEI4,239470,239370,239570
180,270279,270287,5,-,RPL34A,270283,270183,270383
181,270374,270382,5,-,RPL34A,270378,270278,270478
182,194798,194806,5,-,SBH2,194802,194702,194902
183,194931,194939,5,-,SBH2,194935,194835,195035
184,123311,123319,5,-,PMP2,123315,123215,123415
185,146989,146997,6,+,DEG1,146993,146893,147093
186,106658,106666,6,+,HSP12,106662,106562,106762
187,95915,95923,6,+,GAT1,95919,95819,96019
188,74893,74901,6,+,HAC1,74897,74797,74997
189,28054,28062,6,+,ZNF1,28058,27958,28158
190,225090,225098,6,+,YFR034W-A,225094,224994,225194
191,146989,146997,6,-,SPB4,146993,146893,147093
192,106658,106666,6,-,MDJ1,106662,106562,106762
193,74893,74901,6,-,RIM15,74897,74797,74997
194,183177,183185,6,-,IGD1,183181,183081,183281
195,204980,204988,6,-,HIS2,204984,204884,205084
196,225090,225098,6,-,QCR6,225094,224994,225194
197,413406,413414,7,+,RIM8,413410,413310,413510
198,371327,371335,7,+,AFT1,371331,371231,371431
199,98713,98718,7,+,SPT16,98716,98616,98816
200,95513,95521,7,+,MIG2,95517,95417,95617
201,49311,49319,7,+,CSE1,49315,49215,49415
202,500025,500033,7,+,CUL3,500029,499929,500129
203,502750,502758,7,+,PEX31,502754,502654,502854
204,528728,528736,7,+,MTL1,528732,528632,528832
205,547573,547581,7,+,GSC2,547577,547477,547677
206,560191,560199,7,+,ORM1,560195,560095,560295
207,592859,592867,7,+,FMP48,592863,592763,592963
208,598937,598945,7,+,MUP1,598941,598841,599041
209,605988,605996,7,+,PEF1,605992,605892,606092
210,609821,609829,7,+,ERG25,609825,609725,609925
211,677792,677800,7,+,ASK10,677796,677696,677896
212,726831,726839,7,+,RPS23A,726835,726735,726935
213,754404,754412,7,+,FHN1,754408,754308,754508
214,766891,766899,7,+,CBF2,766895,766795,766995
215,774357,774365,7,+,SKN1,774361,774261,774461
216,774630,774638,7,+,SKN1,774634,774534,774734
217,788407,788415,7,+,GPC1,788411,788311,788511
218,858147,858155,7,+,TIM13,858151,858051,858251
219,931587,931595,7,+,CRM1,931591,931491,931691
220,987333,987341,7,+,MGA1,987337,987237,987437
221,987344,987352,7,+,MGA1,987348,987248,987448
222,492114,492122,7,-,RPN14,492118,492018,492218
223,433498,433506,7,-,MIG1,433502,433402,433602
224,433763,433771,7,-,MIG1,433767,433667,433867
225,427079,427087,7,-,OCH1,427083,426983,427183
226,80749,80757,7,-,COG1,80753,80653,80853
227,500025,500033,7,-,SWC4,500029,499929,500129
228,525588,525596,7,-,YGR018C,525592,525492,525692
229,560191,560199,7,-,ACB1,560195,560095,560295
230,592859,592867,7,-,YGR050C,592863,592763,592963
231,605988,605996,7,-,LST7,605992,605892,606092
232,616058,616066,7,-,ADE6,616062,615962,616162
233,650911,650919,7,-,PIL1,650915,650815,651015
234,707163,707171,7,-,CLB6,707167,707067,707267
235,726831,726839,7,-,YGR117C,726835,726735,726935
236,754404,754412,7,-,YGR130C,754408,754308,754508
237,788407,788415,7,-,RPL24B,788411,788311,788511
238,808242,808250,7,-,NSR1,808246,808146,808346
239,850816,850824,7,-,ATF2,850820,850720,850920
240,856946,856954,7,-,RNR4,856950,856850,857050
241,963614,963622,7,-,SPG1,963618,963518,963718
242,963711,963719,7,-,SPG1,963715,963615,963815
243,994237,994245,7,-,RIE1,994241,994141,994341
244,1011232,1011240,7,-,RAD2,1011236,1011136,1011336
245,1017845,1017853,7,-,BUD32,1017849,1017749,1017949
246,149248,149256,7,-,YGL188C-A,149252,149152,149352
247,50798,50806,8,+,RIM101,50802,50702,50902
248,6273,6281,8,+,COS8,6277,6177,6377
249,236084,236092,8,+,PCL5,236088,235988,236188
250,267430,267438,8,+,LRP1,267434,267334,267534
251,320001,320009,8,+,SBE22,320005,319905,320105
252,357637,357645,8,+,NDT80,357641,357541,357741
253,441494,441502,8,+,DBP8,441498,441398,441598
254,484165,484173,8,+,ERG9,484169,484069,484269
255,505950,505958,8,+,MNL1,505954,505854,506054
256,77562,77570,8,-,YLF2,77566,77466,77666
257,66032,66040,8,-,AIM17,66036,65936,66136
258,66049,66057,8,-,AIM17,66053,65953,66153
259,25544,25548,8,-,CBP2,25546,25446,25646
260,115273,115281,8,-,GPA1,115277,115177,115377
261,141753,141761,8,-,ARG4,141757,141657,141857
262,267430,267438,8,-,LAM4,267434,267334,267534
263,298956,298964,8,-,PAL2,298960,298860,299060
264,315151,315159,8,-,GEP4,315155,315055,315255
265,315307,315315,8,-,GEP4,315311,315211,315411
266,498814,498822,8,-,AIM46,498818,498718,498918
267,505950,505958,8,-,RPS4B,505954,505854,506054
268,123759,123767,8,-,YHR007C-A,123763,123663,123863
269,236084,236092,8,-,YHR069C-A,236088,235988,236188
270,334750,334758,9,+,DOT5,334754,334654,334854
271,323220,323228,9,+,BAR1,323224,323124,323324
272,261092,261100,9,+,NEO1,261096,260996,261196
273,249389,249397,9,+,VHR1,249393,249293,249493
274,160717,160725,9,+,YIL108W,160721,160621,160821
275,150355,150363,9,+,SDP1,150359,150259,150459
276,132025,132033,9,+,QDR2,132029,131929,132129
277,93046,93054,9,+,OM45,93050,92950,93150
278,403601,403609,9,+,MND2,403605,403505,403705
279,249389,249397,9,-,RGI2,249393,249293,249493
280,245675,245683,9,-,SNP1,245679,245579,245779
281,245107,245115,9,-,ARC15,245111,245011,245211
282,232893,232901,9,-,RPS24B,232897,232797,232997
283,160717,160725,9,-,SEC24,160721,160621,160821
284,150355,150363,9,-,POR2,150359,150259,150459
285,141979,141987,9,-,PRM5,141983,141883,142083
286,93046,93054,9,-,TMA108,93050,92950,93150
287,42577,42585,9,-,POT1,42581,42481,42681
288,393541,393549,9,-,FLO11,393545,393445,393645
289,403601,403609,9,-,INA22,403605,403505,403705
290,424886,424894,9,-,GTT1,424890,424790,424990
291,337669,337677,10,+,TDH1,337673,337573,337773
292,236592,236600,10,+,LSB6,236596,236496,236696
293,220733,220741,10,+,IME2,220737,220637,220837
294,195787,195795,10,+,ASF1,195791,195691,195891
295,146166,146174,10,+,ROQ1,146170,146070,146270
296,139761,139769,10,+,RPA34,139765,139665,139865
297,90423,90431,10,+,RPL17B,90427,90327,90527
298,462566,462574,10,+,YJR015W,462570,462470,462670
299,639544,639552,10,+,YJR115W,639548,639448,639648
300,639546,639554,10,+,YJR115W,639550,639450,639650
301,718748,718756,10,+,DAL5,718752,718652,718852
302,725579,725587,10,+,AAD10,725583,725483,725683
