,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,190042,190049,1,+,YAT1,190046,189946,190146
1,217249,217256,2,+,PDR3,217252,217152,217352
2,140634,140641,2,+,PRE7,140638,140538,140738
3,101294,101301,2,+,KIP1,101298,101198,101398
4,101609,101616,2,+,KIP1,101612,101512,101712
5,63237,63244,2,+,BOI1,63240,63140,63340
6,36533,36540,2,+,ATP1,36536,36436,36636
7,298117,298124,2,+,RKM3,298120,298020,298220
8,315032,315039,2,+,ATP3,315036,314936,315136
9,342324,342331,2,+,YRO2,342328,342228,342428
10,342400,342407,2,+,YRO2,342404,342304,342504
11,539839,539846,2,+,ARA1,539842,539742,539942
12,539937,539944,2,+,ARA1,539940,539840,540040
13,544750,544757,2,+,APD1,544754,544654,544854
14,544762,544769,2,+,APD1,544766,544666,544866
15,561399,561406,2,+,CSH1,561402,561302,561502
16,602279,602286,2,+,GDT1,602282,602182,602382
17,628572,628579,2,+,COS111,628576,628476,628676
18,647320,647327,2,+,NGR1,647324,647224,647424
19,650874,650881,2,+,SDS24,650878,650778,650978
20,728682,728689,2,+,POP4,728686,728586,728786
21,217249,217256,2,-,LDB7,217252,217152,217352
22,140634,140641,2,-,FUI1,140638,140538,140738
23,101294,101301,2,-,PRX1,101298,101198,101398
24,101609,101616,2,-,PRX1,101612,101512,101712
25,63237,63244,2,-,YBL086C,63240,63140,63340
26,288384,288391,2,-,CHS3,288388,288288,288488
27,292157,292164,2,-,OLA1,292160,292060,292260
28,298117,298124,2,-,CDS1,298120,298020,298220
29,406026,406033,2,-,SPT7,406030,405930,406130
30,481184,481191,2,-,CBP6,481188,481088,481288
31,544750,544757,2,-,TBS1,544754,544654,544854
32,544762,544769,2,-,TBS1,544766,544666,544866
33,555220,555227,2,-,ICS2,555224,555124,555324
34,589327,589334,2,-,FZO1,589330,589230,589430
35,589463,589470,2,-,FZO1,589466,589366,589566
36,647320,647327,2,-,AME1,647324,647224,647424
37,666501,666508,2,-,PDB1,666504,666404,666604
38,728682,728689,2,-,RIB5,728686,728586,728786
39,17070,17077,3,+,VAC17,17074,16974,17174
40,118515,118522,3,+,MRPL32,118518,118418,118618
41,127825,127832,3,+,SAT4,127828,127728,127928
42,128013,128020,3,+,SAT4,128016,127916,128116
43,47367,47374,3,-,EMC1,47370,47270,47470
44,17070,17077,3,-,CHA1,17074,16974,17174
45,118515,118522,3,-,CDC10,118518,118418,118618
46,127825,127832,3,-,YCR007C,127828,127728,127928
47,128013,128020,3,-,YCR007C,128016,127916,128116
48,131866,131873,3,-,RVS161,131870,131770,131970
49,437910,437917,4,+,RPT2,437914,437814,438014
50,424056,424063,4,+,CDC7,424060,423960,424160
51,308015,308022,4,+,RPL13A,308018,307918,308118
52,272127,272134,4,+,NSE4,272130,272030,272230
53,240025,240032,4,+,YDL124W,240028,239928,240128
54,234607,234614,4,+,PCL2,234610,234510,234710
55,111261,111268,4,+,SNF3,111264,111164,111364
56,20087,20094,4,+,YDL241W,20090,19990,20190
57,465317,465324,4,+,SNQ2,465320,465220,465420
58,465392,465399,4,+,SNQ2,465396,465296,465496
59,507465,507472,4,+,MRH1,507468,507368,507568
60,546543,546550,4,+,HEM13,546546,546446,546646
61,565819,565826,4,+,YOS9,565822,565722,565922
62,573865,573872,4,+,YDR061W,573868,573768,573968
63,573916,573923,4,+,YDR061W,573920,573820,574020
64,591680,591687,4,+,SNF11,591684,591584,591784
65,591749,591756,4,+,SNF11,591752,591652,591852
66,596888,596895,4,+,PPH3,596892,596792,596992
67,598288,598295,4,+,RAD55,598292,598192,598392
68,598383,598390,4,+,RAD55,598386,598286,598486
69,636477,636484,4,+,GIS1,636480,636380,636580
70,727957,727964,4,+,RGP1,727960,727860,728060
71,755463,755470,4,+,NUM1,755466,755366,755566
72,848064,848071,4,+,REF2,848068,847968,848168
73,916262,916269,4,+,ADK1,916266,916166,916366
74,1011420,1011427,4,+,BSC2,1011424,1011324,1011524
75,1056254,1056261,4,+,SUR2,1056258,1056158,1056358
76,1067583,1067590,4,+,GPI11,1067586,1067486,1067686
77,1233943,1233950,4,+,ARO10,1233946,1233846,1234046
78,1269758,1269765,4,+,HPT1,1269762,1269662,1269862
79,1401540,1401547,4,+,RPL27B,1401544,1401444,1401644
80,1411472,1411479,4,+,SNF1,1411476,1411376,1411576
81,1469940,1469947,4,+,SDH7,1469944,1469844,1470044
82,1497956,1497963,4,+,CAB1,1497960,1497860,1498060
83,372096,372103,4,+,MRP10,372100,372000,372200
84,950441,950448,4,+,PEX5,950444,950344,950544
85,424056,424063,4,-,ERP3,424060,423960,424160
86,308015,308022,4,-,RPS16B,308018,307918,308118
87,272127,272134,4,-,PHO2,272130,272030,272230
88,240025,240032,4,-,HNT1,240028,239928,240128
