,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,53217,53225,1,-,AIM2,53221,53121,53321
1,101280,101288,2,+,KIP1,101284,101184,101384
2,561185,561193,2,+,CSH1,561189,561089,561289
3,622925,622933,2,+,DER1,622929,622829,623029
4,217096,217104,2,-,SLA1,217100,217000,217200
5,186585,186593,2,-,POP8,186589,186489,186689
6,101280,101288,2,-,PRX1,101284,101184,101384
7,267514,267522,2,-,GRX7,267518,267418,267618
8,292413,292421,2,-,OLA1,292417,292317,292517
9,419428,419436,2,-,YBR085C-A,419432,419332,419532
10,127879,127887,3,+,SAT4,127883,127783,127983
11,152324,152332,3,+,MAK32,152328,152228,152428
12,44526,44534,3,-,POF1,44530,44430,44630
13,127879,127887,3,-,YCR007C,127883,127783,127983
14,142494,142502,3,-,CTO1,142498,142398,142598
15,168424,168432,3,-,RHB1,168428,168328,168528
16,177109,177117,3,-,SYP1,177113,177013,177213
17,223563,223571,3,-,PWP2,223567,223467,223667
18,303530,303538,3,-,EMA35,303534,303434,303634
19,74163,74171,3,-,HBN1,74167,74067,74267
20,345149,345157,4,+,USO1,345153,345053,345253
21,159436,159444,4,+,SFA1,159440,159340,159540
22,89977,89985,4,+,YDL206W,89981,89881,90081
23,65134,65142,4,+,DTD1,65138,65038,65238
24,32107,32115,4,+,PHO13,32111,32011,32211
25,454028,454036,4,+,RCR2,454032,453932,454132
26,600269,600277,4,+,SED1,600273,600173,600373
27,1011426,1011434,4,+,BSC2,1011430,1011330,1011530
28,1213742,1213750,4,+,YPR1,1213746,1213646,1213846
29,1269644,1269652,4,+,HPT1,1269648,1269548,1269748
30,1498059,1498067,4,+,CAB1,1498063,1497963,1498163
31,228816,228819,4,+,STF1,228818,228718,228918
32,454028,454036,4,+,YDR003W-A,454032,453932,454132
33,946252,946260,4,+,AMD2,946256,946156,946356
34,1224416,1224424,4,+,WIP1,1224420,1224320,1224520
35,356992,357000,4,-,PSA1,356996,356896,357096
36,345149,345157,4,-,RAD59,345153,345053,345253
37,159436,159444,4,-,UGX2,159440,159340,159540
38,76987,76995,4,-,PRR2,76991,76891,77091
39,65134,65142,4,-,CDC13,65138,65038,65238
40,945537,945545,4,-,SNU56,945541,945441,945641
41,1460076,1460084,4,-,PSP1,1460080,1459980,1460180
42,1498059,1498067,4,-,APA2,1498063,1497963,1498163
43,1518201,1518209,4,-,IRC4,1518205,1518105,1518305
44,56392,56400,5,+,AFG1,56396,56296,56496
45,46579,46587,5,+,HAT2,46583,46483,46683
46,160319,160327,5,+,YND1,160323,160223,160423
47,192147,192155,5,+,ISC1,192151,192051,192251
48,342632,342640,5,+,IES5,342636,342536,342736
49,468093,468101,5,+,SPI1,468097,467997,468197
50,250227,250235,5,+,ISD11,250231,250131,250331
51,333031,333038,5,+,YER088W-B,333034,332934,333134
52,56392,56400,5,-,MAK10,56396,56296,56496
53,31380,31388,5,-,AVT2,31384,31284,31484
54,192147,192155,5,-,AFG3,192151,192051,192251
55,238104,238112,5,-,ERG28,238108,238008,238208
56,248906,248914,5,-,CAJ1,248910,248810,249010
57,264461,264469,5,-,GIP2,264465,264365,264565
58,280928,280936,5,-,GPP2,280932,280832,281032
59,342632,342640,5,-,MET6,342636,342536,342736
60,395513,395521,5,-,SPR6,395517,395417,395617
61,468093,468101,5,-,PEA2,468097,467997,468197
62,261345,261353,5,-,YER053C-A,261349,261249,261449
63,333030,333032,5,-,SBH1,333031,332931,333131
64,23202,23210,6,-,AQY3,23206,23106,23306
65,208724,208732,7,+,ARI1,208728,208628,208828
66,206292,206300,7,+,RCK1,206296,206196,206396
67,92309,92317,7,+,NCS6,92313,92213,92413
68,592742,592750,7,+,FMP48,592746,592646,592846
69,662065,662073,7,+,UTP22,662069,661969,662169
70,780100,780108,7,+,THI4,780104,780004,780204
71,977056,977064,7,+,MPC3,977060,976960,977160
72,987529,987537,7,+,MGA1,987533,987433,987633
73,479301,479309,7,-,LEU1,479305,479205,479405
74,401651,401659,7,-,ERV14,401655,401555,401755
75,330747,330755,7,-,VPS45,330751,330651,330851
76,196532,196540,7,-,RAD54,196536,196436,196636
77,592742,592750,7,-,YGR050C,592746,592646,592846
78,977056,977064,7,-,YAP1802,977060,976960,977160
