name,flexability,prom_len,pugh,basal,opn_score,numTFs_bind,dependence
TFC3,1.637060704,700.0,03_TFO,4.416872124596946,-0.2415665082706022,0,tail_independent
VPS8,1.753400183,231.0,04_UNB,4.089680765269284,-0.2973467581663067,1,tail_independent
EFB1,1.927538025,660.0,02_STM,11.127015777749008,-0.2653940576354952,4,tail_dependent
YAL004W,3.397319664,,,0.0,,0,not_checked
SSA1,4.188341242,660.0,02_STM,8.480114690794977,1.437606320686002,4,tail_dependent
ERP2,2.344430028,700.0,04_UNB,7.275387507490302,-0.0977870427982052,0,tail_independent
FUN14,2.149060013,110.0,04_UNB,5.178756746844641,-0.1892270736711854,2,tail_independent
SPO7,1.049501661,121.0,04_UNB,4.639350802543471,-1.2526850557705185,0,tail_independent
MDM10,1.649423018,121.0,04_UNB,3.6572814246406926,-0.6310311360260066,0,tail_independent
SWC3,1.420992721,113.0,04_UNB,3.483986320455483,-0.9062406776459886,1,tail_independent
CYS3,5.479354051,154.0,02_STM,8.996480712531481,-0.3516694643774816,0,tail_independent
DEP1,2.071734994,169.0,04_UNB,5.582101257310813,-0.3068903838240882,0,tail_independent
SYN8,1.335545091,169.0,04_UNB,4.867197695586516,-1.6977356929024827,0,tail_independent
NTG1,2.079271524,44.0,05_NoPIC,4.69369081622452,-0.5522041676673792,0,tail_independent
TPD3,0.847110773,340.0,03_TFO,7.065659593611478,-2.276821265352895,0,tail_independent
PSK1,2.769293815,700.0,03_TFO,4.666158632165181,-0.1899877345051823,0,tail_independent
LDS1,11.13166797,,03_TFO,0.0,,0,no_call
FUN30,2.030809004,176.0,04_UNB,5.065659593611478,-0.644821229006534,0,tail_independent
ATS1,1.894340578,176.0,04_UNB,6.091428884618186,-0.8748776968199987,0,no_call
CCR4,1.527440307,121.0,04_UNB,5.194467512106733,-1.3167110450017905,2,tail_independent
FUN26,1.714850256,170.0,04_UNB,6.6622957574786685,-0.93714130836098,2,tail_independent
PMT2,2.853419013,195.0,03_TFO,8.185260030065026,-0.5889210508857632,1,tail_independent
LTE1,3.133398344,171.0,03_TFO,3.792421952529293,-1.332543981885121,0,tail_independent
MAK16,4.762582222,314.0,03_TFO,6.941149400081787,-0.343959665087258,0,tail_independent
DRS2,1.539111004,241.0,03_TFO,6.1659003076545575,-1.4272824512290845,0,tail_independent
SAW1,1.787074275,77.0,04_UNB,3.898993911814112,-0.7916249340522619,0,tail_independent
FRT2,5.850526959,314.0,03_TFO,2.259009712046039,-0.4661504017185605,5,tail_independent
MYO4,1.278999091,314.0,03_TFO,7.243902819655831,-0.0145024709828263,4,tail_independent
SNC1,1.50639369,186.0,03_TFO,7.039780551832886,-1.356915068068723,1,tail_independent
GIP4,1.404200694,186.0,03_TFO,4.224613957646591,-0.4604633021857047,1,tail_independent
PRP45,1.437066614,170.0,04_UNB,5.07221404788922,-0.7299254276391958,0,tail_independent
POP5,3.345970672,116.0,04_UNB,5.543736343019341,-1.243361519450235,0,tail_independent
FUN19,2.889504489,116.0,04_UNB,4.362117481396526,-0.7698276935615,0,tail_independent
FUN12,2.388373793,1.0,04_UNB,8.278963906983837,-1.5441348226142182,3,tail_independent
RBG1,3.056024531,216.0,04_UNB,7.39487442408403,0.2938266679738355,0,tail_independent
YAL037W,4.603021329,1.0,03_TFO,4.087000098901127,-0.4480288767076246,0,no_call
CDC19,4.427396734,700.0,07_ChExMix_extreme,11.916241573423742,-0.8567409856168311,9,tail_dependent
CYC3,4.142468062,700.0,02_STM,5.748274938601008,-0.5327544465004408,2,tail_independent
CLN3,3.050897098,700.0,03_TFO,5.110944390570093,0.4333367340116689,4,tail_dependent
CDC24,1.229610835,122.0,03_TFO,4.984848281710277,0.8158024350095943,1,tail_independent
ERV46,1.592122746,222.0,03_TFO,9.022200470109413,-0.7659084890542793,0,tail_independent
PTA1,1.198775509,222.0,03_TFO,6.326976732994619,-0.4547361000589003,0,tail_independent
GCV3,3.27280311,148.0,03_TFO,8.15916406893054,-0.7664918679262032,2,tail_dependent
YAL045C,3.433457365,,,0.0,,0,not_checked
BOL3,1.709604046,102.0,04_UNB,5.8284583763482845,-1.236115139172047,0,tail_independent
SPC72,2.267757548,21.0,04_UNB,3.692372833748248,-0.5260193159044704,0,tail_independent
GEM1,3.317799912,144.0,04_UNB,0.0,-0.8312929422413315,0,tail_independent
