,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,119768,119775,1,+,PSK1,119772,119672,119872
1,87165,87172,1,+,SNC1,87168,87068,87268
2,71058,71059,1,+,CDC19,71058,70958,71158
3,45553,45560,1,+,FLC2,45556,45456,45656
4,169129,169136,1,+,ADE1,169132,169032,169232
5,106089,106096,1,-,LTE1,106092,105992,106192
6,101311,101318,1,-,MAK16,101314,101214,101414
7,87165,87172,1,-,GIP4,87168,87068,87268
8,45553,45560,1,-,ACS1,45556,45456,45656
9,169129,169136,1,-,BUD14,169132,169032,169232
10,227404,227411,2,+,UTP20,227408,227308,227508
11,201871,201878,2,+,FMT1,201874,201774,201974
12,159954,159961,2,+,HEK2,159958,159858,160058
13,135885,135892,2,+,ECM13,135888,135788,135988
14,135912,135919,2,+,ECM13,135916,135816,136016
15,132302,132309,2,+,PSY4,132306,132206,132406
16,124950,124957,2,+,SEC17,124954,124854,125054
17,101315,101322,2,+,KIP1,101318,101218,101418
18,23902,23909,2,+,SFT2,23906,23806,24006
19,242696,242703,2,+,COQ1,242700,242600,242800
20,342370,342377,2,+,YRO2,342374,342274,342474
21,435819,435826,2,+,YBR096W,435822,435722,435922
22,466952,466959,2,+,RAD16,466956,466856,467056
23,497029,497036,2,+,CCZ1,497032,496932,497132
24,565524,565531,2,+,EXO5,565528,565428,565628
25,568650,568657,2,+,UBS1,568654,568554,568754
26,578214,578221,2,+,SEC66,578218,578118,578318
27,582291,582298,2,+,SWD3,582294,582194,582394
28,595736,595743,2,+,YPC1,595740,595640,595840
29,595940,595947,2,+,YPC1,595944,595844,596044
30,604266,604273,2,+,RPS9B,604270,604170,604370
31,620686,620693,2,+,BEM1,620690,620590,620790
32,644936,644943,2,+,ERV15,644940,644840,645040
33,686722,686729,2,+,VHC1,686726,686626,686826
34,691825,691832,2,+,PRP5,691828,691728,691928
35,728257,728264,2,+,POP4,728260,728160,728360
36,792288,792295,2,+,PCA1,792292,792192,792392
37,143001,143008,2,+,MIN6,143004,142904,143104
38,350887,350894,2,+,MNC1,350890,350790,350990
39,527029,527036,2,+,YBR141W-A,527032,526932,527132
