,chr_loc,start,stop,name,prom_lengths
0,1.0,151209.0,147521.0,TFC3,700.0
1,1.0,143612.0,147587.0,VPS8,231.0
2,1.0,142153.0,143381.0,EFB1,660.0
4,1.0,141493.0,139357.0,SSA1,660.0
5,1.0,138414.0,137552.0,ERP2,700.0
6,1.0,136866.0,137637.0,FUN14,110.0
7,1.0,135823.0,136756.0,SPO7,121.0
8,1.0,135702.0,134083.0,MDM10,121.0
9,1.0,132195.0,134175.0,SWC3,113.0
10,1.0,130742.0,132082.0,CYS3,154.0
11,1.0,129236.0,130588.0,DEP1,169.0
12,1.0,129067.0,128118.0,SYN8,169.0
13,1.0,128074.0,126746.0,NTG1,44.0
14,1.0,124786.0,126870.0,TPD3,340.0
15,1.0,119862.0,124446.0,PSK1,700.0
17,1.0,114813.0,118363.0,FUN30,176.0
18,1.0,114637.0,113539.0,ATS1,176.0
19,1.0,113418.0,110616.0,CCR4,121.0
20,1.0,110446.0,108835.0,FUN26,170.0
21,1.0,108640.0,106157.0,PMT2,195.0
22,1.0,105986.0,101482.0,LTE1,171.0
23,1.0,101168.0,100024.0,MAK16,314.0
24,1.0,99783.0,95490.0,DRS2,241.0
25,1.0,94606.0,95542.0,SAW1,77.0
26,1.0,92836.0,94529.0,FRT2,314.0
27,1.0,92522.0,87794.0,MYO4,314.0
28,1.0,87264.0,87867.0,SNC1,186.0
29,1.0,87078.0,84664.0,GIP4,186.0
30,1.0,84494.0,83204.0,PRP45,170.0
31,1.0,82701.0,83299.0,POP5,116.0
32,1.0,82585.0,80608.0,FUN19,116.0
33,1.0,76401.0,79561.0,FUN12,1.0
34,1.0,76184.0,74965.0,RBG1,216.0
35,1.0,73453.0,76400.0,YAL037W,1.0
36,1.0,71759.0,73452.0,CDC19,700.0
37,1.0,69581.0,68649.0,CYC3,700.0
38,1.0,67844.0,65601.0,CLN3,700.0
39,1.0,62776.0,65463.0,CDC24,122.0
40,1.0,61294.0,62654.0,ERV46,222.0
41,1.0,61072.0,58619.0,PTA1,222.0
42,1.0,58471.0,57868.0,GCV3,148.0
44,1.0,57415.0,56907.0,BOL3,102.0
45,1.0,56886.0,54934.0,SPC72,21.0
46,1.0,54790.0,51726.0,GEM1,144.0
47,1.0,52661.0,51726.0,AIM2,700.0
48,1.0,48534.0,51787.0,OAF1,212.0
49,1.0,45759.0,48322.0,FLC2,691.0
50,1.0,45068.0,43548.0,ACS1,691.0
51,1.0,42170.0,42801.0,PEX22,171.0
52,1.0,39212.0,41999.0,GPB2,49.0
53,1.0,37415.0,39163.0,CNE1,83.0
54,1.0,36507.0,37332.0,ECM1,120.0
55,1.0,35107.0,36387.0,BDH1,190.0
56,1.0,33359.0,34917.0,BDH2,344.0
57,1.0,31529.0,33015.0,GDH3,700.0
62,1.0,9260.0,7276.0,SEO1,700.0
65,1.0,152215.0,153970.0,NUP60,700.0
66,1.0,154920.0,156780.0,SWD1,174.0
67,1.0,158682.0,156681.0,RFA1,190.0
68,1.0,158872.0,159890.0,SEN34,190.0
71,1.0,169021.0,166565.0,BUD14,256.0
72,1.0,169277.0,170390.0,ADE1,256.0
73,1.0,171719.0,170285.0,KIN3,446.0
74,1.0,175181.0,172165.0,CDC15,700.0
76,1.0,180697.0,179245.0,YAR023C,700.0
77,1.0,183671.0,184655.0,UIP3,700.0
78,1.0,184848.0,185794.0,YAR028W,193.0
79,1.0,184853.0,186786.0,YAR029W,5.0
82,1.0,188051.0,188904.0,MST28,700.0
83,1.0,190149.0,192360.0,YAT1,700.0
84,1.0,192583.0,196349.0,SWH1,223.0
100,2.0,237478.0,237078.0,ECM15,700.0
101,2.0,236469.0,237079.0,HTB2,650.0
102,2.0,235819.0,235218.0,HTA2,650.0
103,2.0,227525.0,235213.0,UTP20,700.0
104,2.0,217408.0,220685.0,PDR3,264.0
105,2.0,217144.0,216405.0,LDB7,264.0
106,2.0,216418.0,212548.0,SLA1,700.0
107,2.0,209598.0,212256.0,HIR1,248.0
108,2.0,207160.0,209350.0,ALK2,200.0
109,2.0,206960.0,205899.0,LAA2,200.0
110,2.0,203437.0,206022.0,SCT1,700.0
112,2.0,202012.0,203437.0,FMT1,235.0
113,2.0,201777.0,198947.0,RRN6,235.0
114,2.0,194033.0,195962.0,ACH1,700.0
116,2.0,191792.0,186776.0,PEP1,700.0
117,2.0,186512.0,185941.0,POP8,264.0
118,2.0,184301.0,186031.0,APN2,96.0
119,2.0,182324.0,184205.0,RFT1,204.0
120,2.0,182120.0,181490.0,HAP3,204.0
121,2.0,181398.0,177798.0,PIM1,92.0
122,2.0,177579.0,174744.0,MCM2,219.0
123,2.0,172511.0,174713.0,NCL1,127.0
124,2.0,171423.0,172384.0,RRN10,257.0
125,2.0,170565.0,171166.0,LSM2,700.0
126,2.0,168392.0,169460.0,RPL19B,507.0
127,2.0,167885.0,167273.0,YBL028C,507.0
128,2.0,166092.0,167356.0,YBL029W,700.0
129,2.0,164118.0,162745.0,PET9,246.0
130,2.0,161669.0,162874.0,SHE1,160.0
131,2.0,160092.0,161509.0,HEK2,371.0
132,2.0,159721.0,158589.0,RIB1,371.0
133,2.0,158448.0,153736.0,STU1,141.0
134,2.0,153691.0,151447.0,POL12,45.0
135,2.0,151233.0,150301.0,YBL036C,214.0
136,2.0,147116.0,150380.0,APL3,172.0
137,2.0,146124.0,146944.0,MRPL16,341.0
138,2.0,145783.0,143807.0,URA7,341.0
139,2.0,142911.0,142045.0,ERD2,197.0
140,2.0,141212.0,142028.0,PRE7,700.0
141,2.0,140320.0,138290.0,FUI1,700.0
142,2.0,136557.0,137655.0,ECM13,700.0
144,2.0,135702.0,133961.0,COR1,700.0
145,2.0,132420.0,133868.0,PSY4,204.0
146,2.0,132216.0,127632.0,EDE1,204.0
149,2.0,125048.0,126186.0,SEC17,228.0
150,2.0,124820.0,122302.0,PIN4,228.0
151,2.0,122124.0,119306.0,SAS3,178.0
153,2.0,117474.0,119311.0,TOD6,341.0
154,2.0,117133.0,115479.0,YBL055C,341.0
155,2.0,113707.0,115563.0,PTC3,260.0
156,2.0,113447.0,112728.0,PTH2,260.0
157,2.0,111409.0,112829.0,SHP1,4.0
158,2.0,110677.0,111405.0,IAI11,116.0
159,2.0,107914.0,110033.0,YEL1,399.0
160,2.0,107515.0,105248.0,SKT5,399.0
162,2.0,101869.0,105221.0,KIP1,681.0
163,2.0,101188.0,100299.0,PRX1,681.0
165,2.0,100169.0,96444.0,SEF1,130.0
166,2.0,96164.0,93604.0,UBP13,280.0
167,2.0,92372.0,93483.0,PRS4,261.0
168,2.0,90654.0,92111.0,AST1,73.0
170,2.0,90581.0,88403.0,YBL071C,73.0
171,2.0,89142.0,88412.0,RPS8A,468.0
173,2.0,87790.0,84418.0,AAR2,613.0
174,2.0,87511.0,84418.0,SSA3,279.0
175,2.0,84278.0,80947.0,ILS1,140.0
177,2.0,80775.0,80214.0,ATG8,172.0
178,2.0,75188.0,79828.0,NUP170,464.0
179,2.0,74724.0,72965.0,PET112,464.0
180,2.0,71552.0,73109.0,YBL081W,382.0
181,2.0,71170.0,69697.0,ALG3,382.0
182,2.0,71170.0,69697.0,YBL083C,382.0
183,2.0,69568.0,67040.0,CDC27,129.0
184,2.0,63540.0,66924.0,BOI1,700.0
185,2.0,62679.0,61155.0,YBL086C,700.0
186,2.0,60762.0,59722.0,RPL23A,393.0
187,2.0,59649.0,50912.0,TEL1,73.0
188,2.0,49514.0,51016.0,AVT5,33.0
189,2.0,48808.0,49481.0,MRP21,158.0
190,2.0,48650.0,47263.0,MAP2,158.0
191,2.0,45613.0,46517.0,RPL32,596.0
192,2.0,44998.0,44106.0,ROX3,19.0
193,2.0,45017.0,43182.0,YBL094C,596.0
194,2.0,43261.0,44207.0,MRX3,79.0
196,2.0,40773.0,43265.0,BRN1,209.0
197,2.0,39124.0,40564.0,BNA4,202.0
198,2.0,36733.0,38922.0,ATP1,700.0
200,2.0,28406.0,24777.0,ECM21,700.0
201,2.0,24010.0,24938.0,SFT2,220.0
202,2.0,23790.0,21602.0,RTG3,220.0
203,2.0,21299.0,18086.0,SEA4,303.0
204,2.0,17962.0,14104.0,PKC1,124.0
205,2.0,13917.0,10869.0,SRO77,187.0
206,2.0,10559.0,9835.0,MIX23,310.0
212,2.0,241339.0,238872.0,NTH2,205.0
213,2.0,242589.0,241544.0,RER2,191.0
214,2.0,242780.0,244360.0,COQ1,191.0
215,2.0,245683.0,244273.0,GPI18,183.0
216,2.0,245866.0,246703.0,RCR1,183.0
217,2.0,246884.0,248648.0,UGA2,181.0
218,2.0,251096.0,248665.0,DSF2,700.0
219,2.0,254430.0,252433.0,FLR1,700.0
220,2.0,255721.0,255199.0,HHF1,582.0
221,2.0,256303.0,256899.0,HHT1,582.0
222,2.0,258006.0,257000.0,IPP1,700.0
225,2.0,267396.0,266614.0,GRX7,173.0
226,2.0,269631.0,267569.0,MNN2,580.0
227,2.0,270211.0,270840.0,YBR016W,580.0
228,2.0,273755.0,270845.0,KAP104,517.0
229,2.0,275547.0,274272.0,GAL7,622.0
230,2.0,278377.0,276169.0,GAL10,586.0
231,2.0,278963.0,280717.0,GAL1,586.0
232,2.0,281345.0,283471.0,FUR4,628.0
233,2.0,283676.0,284429.0,POA1,205.0
234,2.0,288059.0,284279.0,CHS3,700.0
235,2.0,289332.0,290352.0,SCO2,700.0
236,2.0,291902.0,290470.0,OLA1,700.0
237,2.0,294067.0,292761.0,ETR1,182.0
239,2.0,296043.0,294249.0,YPK3,195.0
240,2.0,297822.0,296238.0,CDS1,404.0
241,2.0,298226.0,300006.0,RKM3,404.0
242,2.0,300150.0,301342.0,RPL4A,144.0
245,2.0,305997.0,304740.0,HMT1,172.0
246,2.0,306985.0,306169.0,PDX3,700.0
247,2.0,310361.0,308887.0,CSG2,134.0
248,2.0,311493.0,310495.0,SCO1,358.0
249,2.0,311851.0,314975.0,CHS2,358.0
250,2.0,315496.0,316688.0,ATP3,521.0
252,2.0,318213.0,320417.0,FAT1,700.0
253,2.0,321654.0,320349.0,CST26,85.0
254,2.0,324071.0,321739.0,QDR3,194.0
255,2.0,326092.0,324265.0,TCM62,700.0
256,2.0,330230.0,328149.0,GIP1,6.0
257,2.0,331544.0,330236.0,ZTA1,269.0
258,2.0,331813.0,332461.0,FMP23,269.0
259,2.0,332813.0,334029.0,RPS11B,352.0
260,2.0,336865.0,334141.0,REB1,280.0
261,2.0,338387.0,337145.0,REG2,276.0
263,2.0,339413.0,338663.0,RFS1,193.0
264,2.0,340763.0,339606.0,YBR053C,700.0
265,2.0,342784.0,344511.0,YRO2,700.0
266,2.0,347322.0,344509.0,PRP6,536.0
267,2.0,347858.0,349428.0,YBR056W,536.0
268,2.0,353383.0,352063.0,MUM2,269.0
269,2.0,356039.0,353652.0,UBP14,114.0
270,2.0,360325.0,356762.0,AKL1,270.0
271,2.0,362601.0,360595.0,ORC2,700.0
272,2.0,365732.0,364635.0,TRM7,137.0
273,2.0,366612.0,365869.0,YBR062C,301.0
274,2.0,369713.0,366913.0,YBR063C,7.0
276,2.0,369720.0,366926.0,ECM2,218.0
277,2.0,370759.0,369938.0,NRG2,700.0
278,2.0,372786.0,371974.0,TIP1,700.0
279,2.0,375729.0,373642.0,BAP2,683.0
280,2.0,378538.0,376412.0,TAT1,640.0
281,2.0,379972.0,379178.0,ALG14,367.0
282,2.0,380339.0,381316.0,YBR071W,367.0
283,2.0,381956.0,382838.0,HSP26,640.0
284,2.0,383140.0,385996.0,RDH54,302.0
285,2.0,386281.0,389278.0,PFF1,285.0
288,2.0,392339.0,391577.0,SLM4,608.0
289,2.0,392947.0,395042.0,ECM33,608.0
290,2.0,398302.0,395294.0,RPG1,184.0
291,2.0,400916.0,398486.0,SEC18,213.0
292,2.0,405393.0,401129.0,SPT7,700.0
293,2.0,407255.0,406461.0,UBC4,700.0
294,2.0,408894.0,410711.0,TEC1,700.0
295,2.0,411040.0,414073.0,MIS1,329.0
296,2.0,415908.0,417072.0,AAC3,624.0
297,2.0,423333.0,420069.0,IST2,421.0
298,2.0,423754.0,424884.0,RFC5,421.0
299,2.0,425806.0,424935.0,POL30,211.0
302,2.0,427525.0,427054.0,TIM12,122.0
303,2.0,429127.0,427647.0,PHO3,354.0
304,2.0,430986.0,429481.0,PHO5,700.0
305,2.0,431976.0,434300.0,PBY1,700.0
306,2.0,435723.0,434314.0,RXT2,237.0
307,2.0,435960.0,436781.0,YBR096W,237.0
308,2.0,436909.0,441293.0,VPS15,128.0
309,2.0,441496.0,443721.0,MMS4,203.0
310,2.0,444740.0,442901.0,YBR099C,3.0
312,2.0,444743.0,443785.0,FES1,209.0
313,2.0,447387.0,444952.0,EXO84,156.0
314,2.0,447543.0,449364.0,SIF2,156.0
315,2.0,449584.0,450722.0,YMC2,220.0
316,2.0,452000.0,450759.0,VID24,619.0
317,2.0,452619.0,453364.0,SND3,619.0
318,2.0,454579.0,453346.0,IML3,191.0
319,2.0,454770.0,457846.0,AIM3,191.0
320,2.0,458406.0,457722.0,CMD1,406.0
321,2.0,458812.0,460321.0,ALG1,406.0
322,2.0,461881.0,461107.0,YSA1,221.0
323,2.0,465970.0,462642.0,CYC8,700.0
325,2.0,467160.0,469732.0,RAD16,700.0
326,2.0,474034.0,469650.0,LYS2,700.0
329,2.0,477649.0,479137.0,TEF2,700.0
330,2.0,479290.0,480443.0,MUD1,153.0
331,2.0,481008.0,480375.0,CBP6,220.0
332,2.0,483434.0,481228.0,GRS1,340.0
333,2.0,484536.0,483774.0,MRPL36,160.0
334,2.0,486754.0,484696.0,TFC1,104.0
336,2.0,488562.0,486858.0,PTC4,212.0
337,2.0,490484.0,488774.0,TPS1,343.0
338,2.0,492871.0,491103.0,VMA2,139.0
339,2.0,494202.0,493010.0,ATG14,66.0
340,2.0,495383.0,494268.0,OPY1,96.0
341,2.0,496929.0,495479.0,SHE3,204.0
342,2.0,497133.0,499352.0,CCZ1,204.0
343,2.0,501606.0,499349.0,AGP2,138.0
344,2.0,504416.0,501744.0,HSL7,344.0
346,2.0,504760.0,505412.0,CKS1,344.0
347,2.0,505630.0,512966.0,MEC1,218.0
348,2.0,512982.0,513718.0,YBR137W,16.0
349,2.0,515376.0,513613.0,YBR138C,280.0
350,2.0,515656.0,517360.0,ATG42,280.0
351,2.0,526898.0,517234.0,IRA1,252.0
352,2.0,528069.0,526885.0,BMT2,190.0
353,2.0,528259.0,530815.0,MAK5,190.0
354,2.0,532210.0,530729.0,SUP45,700.0
356,2.0,533721.0,534918.0,ADH5,700.0
357,2.0,535197.0,536296.0,MRPS9,279.0
358,2.0,536462.0,537481.0,RTC2,166.0
359,2.0,537934.0,539638.0,YSW1,453.0
360,2.0,539949.0,541128.0,ARA1,311.0
361,2.0,544522.0,541138.0,TBS1,393.0
362,2.0,544915.0,546108.0,APD1,393.0
363,2.0,546308.0,548351.0,SPP381,200.0
364,2.0,546373.0,548365.0,RIB7,65.0
365,2.0,549100.0,548266.0,RPB5,634.0
366,2.0,549734.0,551006.0,CNS1,634.0
367,2.0,553250.0,550927.0,SLI15,164.0
368,2.0,555160.0,553414.0,ICS2,700.0
369,2.0,556286.0,558351.0,AMN1,700.0
370,2.0,558632.0,559894.0,IFA38,281.0
371,2.0,560000.0,561068.0,CDC28,106.0
372,2.0,561407.0,562903.0,CSH1,339.0
373,2.0,564719.0,563053.0,TOS1,495.0
374,2.0,565621.0,567536.0,EXO5,108.0
375,2.0,568545.0,567747.0,ARL1,215.0
376,2.0,568760.0,569831.0,UBS1,215.0
377,2.0,571243.0,569741.0,TYR1,112.0
378,2.0,571947.0,571355.0,POP7,294.0
379,2.0,572241.0,573786.0,PEX32,294.0
380,2.0,576050.0,573737.0,SSE2,164.0
381,2.0,578120.0,576214.0,NPL4,218.0
382,2.0,578338.0,579117.0,SEC66,218.0
383,2.0,581477.0,579016.0,SMY2,68.0
384,2.0,582196.0,581545.0,UMP1,199.0
385,2.0,583410.0,582177.0,YBR174C,48.0
386,2.0,582395.0,583458.0,SWD3,199.0
387,2.0,583629.0,584701.0,ECM31,171.0
388,2.0,586192.0,584680.0,EHT1,284.0
390,2.0,589179.0,586476.0,FZO1,700.0
392,2.0,592803.0,591623.0,RPS6B,326.0
393,2.0,595025.0,593129.0,SMP1,179.0
394,2.0,596018.0,597146.0,YPC1,412.0
395,2.0,597349.0,598941.0,YBR184W,203.0
396,2.0,599978.0,598944.0,MBA1,700.0
