,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,45183,45189,1,+,FLC2,45186,45086,45286
1,187481,187487,1,+,MST28,187484,187384,187584
2,45183,45189,1,-,ACS1,45186,45086,45286
3,209554,209560,2,+,HIR1,209557,209457,209657
4,193684,193690,2,+,ACH1,193687,193587,193787
5,141160,141166,2,+,PRE7,141163,141063,141263
6,113647,113653,2,+,PTC3,113650,113550,113750
7,101788,101794,2,+,KIP1,101791,101691,101891
8,255868,255874,2,+,HHT1,255871,255771,255971
9,298220,298225,2,+,RKM3,298222,298122,298322
10,392613,392619,2,+,ECM33,392616,392516,392716
11,408497,408503,2,+,TEC1,408500,408400,408600
12,546324,546330,2,+,RIB7,546327,546227,546427
13,181466,181472,2,-,PIM1,181469,181369,181569
14,113647,113653,2,-,PTH2,113650,113550,113750
15,101788,101794,2,-,PRX1,101791,101691,101891
16,255868,255874,2,-,HHF1,255871,255771,255971
17,298220,298226,2,-,CDS1,298223,298123,298323
18,307095,307101,2,-,PDX3,307098,306998,307198
19,326347,326353,2,-,TCM62,326350,326250,326450
20,337050,337056,2,-,REB1,337053,336953,337153
21,379162,379168,2,-,TAT1,379165,379065,379265
22,392613,392619,2,-,SLM4,392616,392516,392716
23,405883,405889,2,-,SPT7,405886,405786,405986
24,532847,532853,2,-,SUP45,532850,532750,532950
25,555431,555437,2,-,ICS2,555434,555334,555534
26,589363,589369,2,-,FZO1,589366,589266,589466
27,426976,426982,2,-,NHP6B,426979,426879,427079
28,419828,419834,2,-,YBR085C-A,419831,419731,419931
29,50407,50413,3,+,GLK1,50410,50310,50510
30,24681,24687,3,+,PRD1,24684,24584,24784
31,225334,225340,3,+,YCR061W,225337,225237,225437
32,279995,280001,3,+,CDC39,279998,279898,280098
33,68815,68821,3,-,HIS4,68818,68718,68918
34,279995,280001,3,-,MSH3,279998,279898,280098
35,303651,303657,3,-,EMA35,303654,303554,303754
36,24681,24687,3,-,MIC10,24684,24584,24784
37,101842,101848,3,-,YCL012C,101845,101745,101945
38,437916,437922,4,+,RPT2,437919,437819,438019
39,413463,413469,4,+,GPM2,413466,413366,413566
40,330867,330873,4,+,BDF2,330870,330770,330970
41,286802,286808,4,+,PMT1,286805,286705,286905
42,283257,283263,4,+,BUG1,283260,283160,283360
43,199871,199877,4,+,CCT4,199874,199774,199974
44,190786,190792,4,+,RPN5,190789,190689,190889
45,175964,175970,4,+,CLB3,175967,175867,176067
46,174640,174646,4,+,CMR1,174643,174543,174743
47,591770,591776,4,+,SNF11,591773,591673,591873
48,629766,629772,4,+,UBC13,629769,629669,629869
49,636400,636406,4,+,GIS1,636403,636303,636503
50,769284,769290,4,+,RPA14,769287,769187,769387
51,836246,836252,4,+,CCT6,836249,836149,836349
52,955416,955422,4,+,VHS1,955419,955319,955519
53,1005337,1005343,4,+,CCC2,1005340,1005240,1005440
54,1054970,1054976,4,+,MHR1,1054973,1054873,1055073
55,1129386,1129392,4,+,GPI8,1129389,1129289,1129489
56,1135664,1135670,4,+,SWR1,1135667,1135567,1135767
57,1251855,1251861,4,+,SAC7,1251858,1251758,1251958
58,1261505,1261511,4,+,RPT3,1261508,1261408,1261608
