,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,113539,113546,2,+,PTC3,113542,113442,113642
1,92304,92311,2,+,PRS4,92308,92208,92408
2,288905,288912,2,+,SCO2,288908,288808,289008
3,408231,408238,2,+,TEC1,408234,408134,408334
4,466762,466769,2,+,RAD16,466766,466666,466866
5,535118,535125,2,+,MRPS9,535122,535022,535222
6,601831,601838,2,+,GDT1,601834,601734,601934
7,707110,707117,2,+,GPX2,707114,707014,707214
8,217023,217030,2,-,SLA1,217026,216926,217126
9,113539,113546,2,-,PTH2,113542,113442,113642
10,89576,89583,2,-,RPS8A,89580,89480,89680
11,326536,326543,2,-,TCM62,326540,326440,326640
12,353383,353388,2,-,MUM2,353386,353286,353486
13,664765,664772,2,-,YBR220C,664768,664668,664868
14,707110,707117,2,-,ALG7,707114,707014,707214
15,785100,785107,2,-,CTP1,785104,785004,785204
16,391961,391968,2,-,YBR076C-A,391964,391864,392064
17,91069,91076,3,+,LEU2,91072,90972,91172
18,78656,78663,3,+,KCC4,78660,78560,78760
19,155112,155119,3,+,HTL1,155116,155016,155216
20,162260,162267,3,-,SLM5,162264,162164,162364
21,176840,176847,3,-,SYP1,176844,176744,176944
22,205493,205500,3,-,TAF2,205496,205396,205596
23,223703,223710,3,-,PWP2,223706,223606,223806
24,155112,155119,3,-,MAK31,155116,155016,155216
25,74439,74446,3,-,HBN1,74442,74342,74542
26,437765,437772,4,+,RPT2,437768,437668,437868
27,397416,397423,4,+,PRP9,397420,397320,397520
28,351318,351325,4,+,YDL057W,351322,351222,351422
29,345538,345545,4,+,USO1,345542,345442,345642
30,240064,240071,4,+,YDL124W,240068,239968,240168
31,232363,232370,4,+,VCX1,232366,232266,232466
32,172283,172290,4,+,STE7,172286,172186,172386
33,132885,132892,4,+,LYS20,132888,132788,132988
34,121870,121877,4,+,RBS1,121874,121774,121974
35,87254,87261,4,+,NHP2,87258,87158,87358
36,66104,66111,4,+,YDL218W,66108,66008,66208
37,473895,473902,4,+,RAD61,473898,473798,473998
38,848267,848274,4,+,REF2,848270,848170,848370
39,889219,889226,4,+,UPC2,889222,889122,889322
40,911524,911531,4,+,CRF1,911528,911428,911628
41,1242578,1242585,4,+,EFT2,1242582,1242482,1242682
42,1334619,1334626,4,+,PPZ2,1334622,1334522,1334722
43,1341711,1341718,4,+,DOT1,1341714,1341614,1341814
44,1436046,1436053,4,+,MZM1,1436050,1435950,1436150
45,372055,372062,4,+,MRP10,372058,371958,372158
46,362593,362595,4,-,PBP4,362594,362494,362694
47,345538,345545,4,-,RAD59,345542,345442,345642
48,240064,240071,4,-,HNT1,240068,239968,240168
49,172283,172290,4,-,DHH1,172286,172186,172386
50,132885,132892,4,-,YDL183C,132888,132788,132988
51,121870,121877,4,-,UFD2,121874,121774,121974
52,87254,87261,4,-,CWC2,87258,87158,87358
53,29076,29083,4,-,ADY3,29080,28980,29180
54,541447,541454,4,-,YDR042C,541450,541350,541550
55,591635,591642,4,-,IPT1,591638,591538,591738
56,720487,720494,4,-,MRX16,720490,720390,720590
57,848267,848274,4,-,MSS116,848270,848170,848370
58,1080750,1080757,4,-,GIC2,1080754,1080654,1080854
59,1242578,1242585,4,-,ATO3,1242582,1242482,1242682
60,1334619,1334626,4,-,PPM1,1334622,1334522,1334722
61,1366128,1366135,4,-,TSA2,1366132,1366032,1366232
62,1521324,1521331,4,-,YDR541C,1521328,1521228,1521428
63,123278,123285,5,+,GTT3,123282,123182,123382
64,86717,86724,5,+,MCM3,86720,86620,86820
65,26506,26513,5,+,HPA3,26510,26410,26610
66,152917,152924,5,+,MNN1,152920,152820,153020
67,362525,362532,5,+,RPS8B,362528,362428,362628
68,453311,453318,5,+,COX15,453314,453214,453414
69,539421,539428,5,+,YER175W-A,539424,539324,539524
70,84762,84769,5,-,ANP1,84766,84666,84866
71,26506,26513,5,-,YEL068C,26510,26410,26610
72,260112,260119,5,-,PIC2,260116,260016,260216
73,362525,362532,5,-,AST2,362528,362428,362628
74,474701,474708,5,-,YER152C,474704,474604,474804
75,539421,539428,5,-,GRX4,539424,539324,539524
76,554230,554237,5,-,FAU1,554234,554134,554334
77,239657,239664,5,-,MEI4,239660,239560,239760
78,123278,123285,5,-,PMP2,123282,123182,123382
79,86717,86724,5,-,YEL034C-A,86720,86620,86820
80,74741,74748,6,+,HAC1,74744,74644,74844
81,103416,103423,6,+,SMX2,103420,103320,103520
82,103416,103423,6,-,LPD1,103420,103320,103520
83,74741,74748,6,-,RIM15,74744,74644,74844
84,23539,23546,6,-,AQY3,23542,23442,23642
85,174072,174079,6,-,CMK1,174076,173976,174176
86,221824,221831,6,-,RPL2A,221828,221728,221928
87,324881,324888,7,+,TOS8,324884,324784,324984
88,249705,249712,7,+,SEC27,249708,249608,249808
89,91841,91848,7,+,NCS6,91844,91744,91944
90,48992,48999,7,+,CSE1,48996,48896,49096
91,823618,823625,7,+,TIF4631,823622,823522,823722
92,914978,914985,7,+,ZPR1,914982,914882,915082
93,951676,951683,7,+,BNS1,951680,951580,951780
94,984802,984809,7,+,CPD1,984806,984706,984906
95,995394,995401,7,+,NOP19,995398,995298,995498
96,996639,996646,7,+,GCN5,996642,996542,996742
97,364224,364226,7,-,HNM1,364225,364125,364325
98,152919,152926,7,-,TPN1,152922,152822,153022
99,620190,620197,7,-,VHT1,620194,620094,620294
100,914978,914985,7,-,YGR210C,914982,914882,915082
101,951676,951683,7,-,SMI1,951680,951580,951780
102,974400,974407,7,-,PFK1,974404,974304,974504
103,984802,984809,7,-,BRF1,984806,984706,984906
104,1011327,1011334,7,-,RAD2,1011330,1011230,1011430
105,1027272,1027279,7,-,HUA1,1027276,1027176,1027376
106,21318,21325,8,+,EFM1,21322,21222,21422
107,184000,184007,8,+,RRF1,184004,183904,184104
108,207403,207410,8,+,SMF2,207406,207306,207506
109,325141,325148,8,+,TRR2,325144,325044,325244
110,345729,345736,8,+,SET1,345732,345632,345832
111,406672,406679,8,+,LAM1,406676,406576,406776
112,445546,445553,8,+,ATG7,445550,445450,445650
113,486710,486717,8,+,LNP1,486714,486614,486814
114,386726,386732,8,+,RPC10,386729,386629,386829
115,84257,84264,8,-,ETP1,84260,84160,84360
116,21318,21325,8,-,ARN1,21322,21222,21422
117,148821,148828,8,-,RPS27B,148824,148724,148924
118,193823,193830,8,-,DOG2,193826,193726,193926
119,345729,345736,8,-,ORC6,345732,345632,345832
120,486710,486717,8,-,CTF8,486714,486614,486814
121,338761,338768,9,+,FAA3,338764,338664,338864
122,333047,333054,9,+,TIR3,333050,332950,333150
123,254462,254469,9,+,GPP1,254466,254366,254566
124,255002,255009,9,+,GPP1,255006,254906,255106
125,212263,212270,9,+,THS1,212266,212166,212366
126,127659,127666,9,+,SIM1,127662,127562,127762
127,83120,83127,9,+,CCT2,83124,83024,83224
128,254462,254469,9,-,YIL055C,254466,254366,254566
129,255002,255009,9,-,YIL055C,255006,254906,255106
130,212263,212270,9,-,AIR1,212266,212166,212366
131,138544,138551,9,-,RPI1,138548,138448,138648
132,83120,83127,9,-,SSL2,83124,83024,83224
133,34849,34856,9,-,NIT1,34852,34752,34952
134,34849,34856,9,-,YIL165C,34852,34752,34952
135,406844,406851,9,-,DAL1,406848,406748,406948
136,336586,336593,9,-,EST3,336590,336490,336690
137,360023,360030,10,+,YJL043W,360026,359926,360126
138,236957,236964,10,+,LSB6,236960,236860,237060
139,90198,90205,10,+,RPL17B,90202,90102,90302
140,83047,83054,10,+,GON7,83050,82950,83150
141,436100,436107,10,+,AVT1,436104,436004,436204
142,445545,445552,10,+,APL1,445548,445448,445648
143,609068,609075,10,+,SFC1,609072,608972,609172
144,623156,623163,10,+,ADO1,623160,623060,623260
145,633469,633476,10,+,YMR1,633472,633372,633572
146,718847,718854,10,+,DAL5,718850,718750,718950
147,292136,292143,10,+,YJL077W-B,292140,292040,292240
148,415480,415487,10,-,RPC17,415484,415384,415584
149,360023,360030,10,-,GYP6,360026,359926,360126
150,236957,236964,10,-,GSH1,236960,236860,237060
151,113555,113562,10,-,YJL163C,113558,113458,113658
152,90198,90205,10,-,ATG27,90202,90102,90302
153,83047,83054,10,-,ATG36,83050,82950,83150
154,445545,445552,10,-,SAG1,445548,445448,445648
155,623156,623163,10,-,SOD1,623160,623060,623260
