,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,158710,158717,1,+,SEN34,158714,158614,158814
1,182970,182975,1,+,UIP3,182972,182872,183072
2,158710,158717,1,-,RFA1,158714,158614,158814
3,315462,315469,2,+,ATP3,315466,315366,315566
4,332749,332756,2,+,RPS11B,332752,332652,332852
5,767750,767757,2,+,MRPL27,767754,767654,767854
6,350845,350852,2,+,MNC1,350848,350748,350948
7,216664,216671,2,-,SLA1,216668,216568,216768
8,276130,276137,2,-,GAL7,276134,276034,276234
9,324262,324265,2,-,QDR3,324264,324164,324364
10,356114,356121,2,-,UBP14,356118,356018,356218
11,700308,700315,2,-,ERT1,700312,700212,700412
12,767750,767757,2,-,DUG2,767754,767654,767854
13,805084,805091,2,-,MAL31,805088,804988,805188
14,143379,143386,3,+,YCR016W,143382,143282,143482
15,252778,252785,3,+,PTC6,252782,252682,252882
16,279961,279968,3,+,CDC39,279964,279864,280064
17,168347,168354,3,-,RHB1,168350,168250,168450
18,205754,205761,3,-,TAF2,205758,205658,205858
19,252778,252785,3,-,PAT1,252782,252682,252882
20,273442,273449,3,-,YCR090C,273446,273346,273546
21,279961,279968,3,-,MSH3,279964,279864,280064
22,437519,437526,4,+,RPT2,437522,437422,437622
23,437877,437884,4,+,RPT2,437880,437780,437980
24,322160,322167,4,+,RPL31A,322164,322064,322264
25,84085,84092,4,+,UGA4,84088,83988,84188
26,30578,30585,4,+,AIM6,30582,30482,30682
27,471356,471363,4,+,RPL4B,471360,471260,471460
28,633616,633623,4,+,YDR094W,633620,633520,633720
29,930768,930775,4,+,LYS4,930772,930672,930872
30,1035863,1035870,4,+,INM2,1035866,1035766,1035966
31,1181564,1181571,4,+,YPQ2,1181568,1181468,1181668
32,1213839,1213846,4,+,YPR1,1213842,1213742,1213942
33,1305795,1305802,4,+,HKR1,1305798,1305698,1305898
34,1328626,1328633,4,+,NPL3,1328630,1328530,1328730
35,1328626,1328633,4,+,YDR433W,1328630,1328530,1328730
36,1388631,1388638,4,+,SPP41,1388634,1388534,1388734
37,1450997,1451004,4,+,PLM2,1451000,1450900,1451100
38,520990,520997,4,+,YDR034W-B,520994,520894,521094
39,477399,477406,4,+,HED1,477402,477302,477502
40,946352,946359,4,+,AMD2,946356,946256,946456
41,322160,322167,4,-,RXT3,322164,322064,322264
42,30578,30585,4,-,GUD1,30582,30482,30682
43,645199,645206,4,-,GRX3,645202,645102,645302
44,802777,802784,4,-,SEC7,802780,802680,802880
45,930768,930775,4,-,RTN1,930772,930672,930872
46,1035863,1035870,4,-,MGP12,1035866,1035766,1035966
47,1328626,1328633,4,-,CYM1,1328630,1328530,1328730
48,1450997,1451004,4,-,RPL37B,1451000,1450900,1451100
49,1461938,1461945,4,-,GMC1,1461942,1461842,1462042
50,940974,940980,4,-,SEC26,940977,940877,941077
51,131128,131135,5,+,UBC8,131132,131032,131232
52,34319,34326,5,+,NPR2,34322,34222,34422
53,386863,386870,5,+,LSM4,386866,386766,386966
54,250304,250311,5,+,ISD11,250308,250208,250408
55,34319,34326,5,-,CAN1,34322,34222,34422
56,173458,173465,5,-,YER010C,173462,173362,173562
57,228288,228295,5,-,KRE29,228292,228192,228392
58,386863,386870,5,-,SWI4,386866,386766,386966
59,474070,474077,5,-,YER152C,474074,473974,474174
60,474208,474215,5,-,YER152C,474212,474112,474312
61,115788,115795,6,+,CDC4,115792,115692,115892
62,76646,76653,6,+,AGX1,76650,76550,76750
63,27940,27947,6,+,ZNF1,27944,27844,28044
64,263900,263907,6,+,IRC7,263904,263804,264004
65,115788,115795,6,-,WWM1,115792,115692,115892
66,183128,183135,6,-,IGD1,183132,183032,183232
67,499999,500006,7,+,CUL3,500002,499902,500102
68,523406,523413,7,+,YGR017W,523410,523310,523510
69,745652,745659,7,+,YGR126W,745656,745556,745756
70,1011651,1011658,7,+,TNA1,1011654,1011554,1011754
71,433663,433670,7,-,MIG1,433666,433566,433766
72,499999,500006,7,-,SWC4,500002,499902,500102
73,653204,653211,7,-,PDC6,653208,653108,653308
74,653407,653414,7,-,PDC6,653410,653310,653510
75,1010973,1010980,7,-,RAD2,1010976,1010876,1011076
76,1027115,1027122,7,-,HUA1,1027118,1027018,1027218
77,1076332,1076339,7,-,MAL11,1076336,1076236,1076436
78,51002,51009,8,+,RIM101,51006,50906,51106
79,255949,255956,8,+,YHR078W,255952,255852,256052
80,353607,353608,8,+,CIA2,353608,353508,353708
81,486662,486669,8,+,LNP1,486666,486566,486766
82,255949,255956,8,-,NMD2,255952,255852,256052
83,297213,297220,8,-,HXT5,297216,297116,297316
84,412676,412683,8,-,LIN1,412680,412580,412780
85,486662,486669,8,-,CTF8,486666,486566,486766
86,339299,339306,9,+,FAA3,339302,339202,339402
87,284965,284972,9,+,CST6,284968,284868,285068
88,285472,285479,9,+,CST6,285476,285376,285576
89,260990,260997,9,+,NEO1,260994,260894,261094
90,254718,254725,9,+,GPP1,254722,254622,254822
91,409586,409593,9,+,DAL4,409590,409490,409690
92,284965,284972,9,-,PRM2,284968,284868,285068
93,254718,254725,9,-,YIL055C,254722,254622,254822
94,339435,339442,10,+,IRC8,339438,339338,339538
95,120123,120130,10,+,HSP150,120126,120026,120226
96,83897,83904,10,+,MNN11,83900,83800,84000
97,617812,617819,10,+,RSM26,617816,617716,617916
98,633442,633449,10,+,YMR1,633446,633346,633546
99,518211,518218,10,-,POL32,518214,518114,518314
100,542997,543004,10,-,YJR056C,543000,542900,543100
101,617812,617819,10,-,AIM25,617816,617716,617916
102,633442,633449,10,-,CPA2,633446,633346,633546
103,361974,361981,11,+,PTM1,361978,361878,362078
104,506609,506616,11,+,DAL80,506612,506512,506712
105,506616,506623,11,+,DAL80,506620,506520,506720
106,361974,361981,11,-,NFU1,361978,361878,362078
107,506609,506616,11,-,SPO14,506612,506512,506712
108,506616,506623,11,-,SPO14,506620,506520,506720
109,204599,204606,12,+,RAD5,204602,204502,204702
110,534478,534485,12,+,MMR1,534482,534382,534582
111,658345,658352,12,+,YLR257W,658348,658248,658448
112,723300,723307,12,+,YLR297W,723304,723204,723404
113,950556,950563,12,+,INA1,950560,950460,950660
114,1024933,1024940,12,+,YLR446W,1024936,1024836,1025036
115,240416,240423,12,-,YLR046C,240420,240320,240520
116,448696,448703,12,-,RNH203,448700,448600,448800
117,534478,534485,12,-,ATG26,534482,534382,534582
118,605060,605067,12,-,CDC42,605064,604964,605164
119,26755,26762,13,+,GTR1,26758,26658,26858
120,396877,396884,13,+,AEP1,396880,396780,396980
121,408399,408406,13,+,MOT3,408402,408302,408502
122,453864,453871,13,+,UTP15,453868,453768,453968
123,494747,494754,13,+,FOL3,494750,494650,494850
124,733245,733252,13,+,PEP5,733248,733148,733348
125,874422,874429,13,+,UBP15,874426,874326,874526
126,904557,904564,13,+,DIA1,904560,904460,904660
127,774551,774558,13,+,HOR7,774554,774454,774654
128,204615,204622,13,-,YMD8,204618,204518,204718
129,396877,396884,13,-,ARG7,396880,396780,396980
130,453864,453871,13,-,AIP1,453868,453768,453968
131,494747,494754,13,-,MED11,494750,494650,494850
132,540246,540253,13,-,GID8,540250,540150,540350
133,808292,808299,13,-,URA10,808296,808196,808396
134,874422,874429,13,-,ADH2,874426,874326,874526
135,251609,251616,14,+,SSB2,251612,251512,251712
136,237996,238003,14,+,MGS1,238000,237900,238100
137,137901,137908,14,+,LYP1,137904,137804,138004
138,685751,685758,14,+,PPG1,685754,685654,685854
139,778826,778833,14,+,COS10,778830,778730,778930
140,237996,238003,14,-,ALG9,238000,237900,238100
141,137901,137908,14,-,ALP1,137904,137804,138004
142,685751,685758,14,-,SSK2,685754,685654,685854
143,759753,759760,14,-,DSE4,759756,759656,759856
144,779649,779656,14,-,AIF1,779652,779552,779752
145,453623,453630,15,+,VPS5,453626,453526,453726
146,487075,487082,15,+,YVC1,487078,486978,487178
147,619084,619091,15,+,PDR5,619088,618988,619188
148,288232,288239,15,+,YOL019W-A,288236,288136,288336
149,453623,453630,15,-,ALG8,453626,453526,453726
150,487075,487082,15,-,TCB1,487078,486978,487178
151,619084,619091,15,-,ATG40,619088,618988,619188
152,907883,907890,15,-,COT1,907886,907786,907986
153,554468,554475,16,+,HAT1,554472,554372,554572
154,427908,427909,16,+,VPS28,427908,427808,428008
155,359959,359966,16,+,ELP4,359962,359862,360062
156,121470,121477,16,+,NEW1,121474,121374,121574
157,118233,118238,16,+,CET1,118236,118136,118336
158,628684,628691,16,+,CSR2,628688,628588,628788
159,783722,783729,16,+,AXL1,783726,783626,783826
160,554468,554475,16,-,SNF8,554472,554372,554572
161,359959,359966,16,-,FMP30,359962,359862,360062
162,352406,352413,16,-,SSE1,352410,352310,352510
163,277806,277813,16,-,NOP53,277810,277710,277910
164,121470,121477,16,-,ALG5,121474,121374,121574
165,923991,923998,16,-,HPA2,923994,923894,924094
