,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,119745,119751,1,+,PSK1,119748,119648,119848
1,151709,151715,1,+,NUP60,151712,151612,151812
2,169149,169155,1,+,ADE1,169152,169052,169252
3,169157,169163,1,+,ADE1,169160,169060,169260
4,151709,151715,1,-,TFC3,151712,151612,151812
5,58553,58559,1,-,GCV3,58556,58456,58656
6,169149,169155,1,-,BUD14,169152,169052,169252
7,169157,169163,1,-,BUD14,169160,169060,169260
8,136095,136101,2,+,ECM13,136098,135998,136198
9,63059,63065,2,+,BOI1,63062,62962,63162
10,39015,39021,2,+,BNA4,39018,38918,39118
11,23872,23878,2,+,SFT2,23875,23775,23975
12,269772,269778,2,+,YBR016W,269775,269675,269875
13,311828,311834,2,+,CHS2,311831,311731,311931
14,423544,423550,2,+,RFC5,423547,423447,423647
15,466531,466537,2,+,RAD16,466534,466434,466634
16,561360,561366,2,+,CSH1,561363,561263,561463
17,136095,136101,2,-,COR1,136098,135998,136198
18,63059,63065,2,-,YBL086C,63062,62962,63162
19,28519,28525,2,-,ECM21,28522,28422,28622
20,23872,23878,2,-,RTG3,23875,23775,23975
21,269772,269778,2,-,MNN2,269775,269675,269875
22,311828,311834,2,-,SCO1,311831,311731,311931
23,423544,423550,2,-,IST2,423547,423447,423647
24,466531,466537,2,-,CYC8,466534,466434,466634
25,474115,474121,2,-,LYS2,474118,474018,474218
26,600653,600659,2,-,MBA1,600656,600556,600756
27,662520,662526,2,-,PYC2,662523,662423,662623
28,670952,670958,2,-,TDP1,670955,670855,671055
29,716603,716609,2,-,HIS7,716606,716506,716706
30,742606,742612,2,-,SDH8,742609,742509,742709
31,216281,216287,3,+,THR4,216284,216184,216384
32,105693,105699,3,-,ILV6,105696,105596,105796
33,103624,103630,3,-,GBP2,103627,103527,103727
34,68527,68533,3,-,HIS4,68530,68430,68630
35,68571,68577,3,-,HIS4,68574,68474,68674
36,68583,68589,3,-,HIS4,68586,68486,68686
37,131951,131957,3,-,RVS161,131954,131854,132054
38,411059,411064,4,+,GPD1,411062,410962,411162
39,139430,139436,4,+,DLD2,139433,139333,139533
40,20063,20069,4,+,YDL241W,20066,19966,20166
41,465131,465137,4,+,SNQ2,465134,465034,465234
42,491290,491296,4,+,RPS11A,491293,491193,491393
43,539549,539555,4,+,RSM10,539552,539452,539652
44,574010,574016,4,+,YDR061W,574013,573913,574113
45,703870,703876,4,+,ARO1,703873,703773,703973
46,836021,836027,4,+,CCT6,836024,835924,836124
47,1003744,1003750,4,+,MSW1,1003747,1003647,1003847
48,1037019,1037025,4,+,NSE3,1037022,1036922,1037122
49,1269699,1269705,4,+,HPT1,1269702,1269602,1269802
50,1289021,1289027,4,+,SIZ1,1289024,1288924,1289124
51,1289035,1289041,4,+,SIZ1,1289038,1288938,1289138
52,1334008,1334014,4,+,PPZ2,1334011,1333911,1334111
53,1386712,1386718,4,+,STP1,1386715,1386615,1386815
54,1447532,1447538,4,+,LCD1,1447535,1447435,1447635
55,1490836,1490842,4,+,RBA50,1490839,1490739,1490939
56,407439,407445,4,-,RTK1,407442,407342,407542
57,104700,104706,4,-,GGC1,104703,104603,104803
58,485503,485509,4,-,GCV1,485506,485406,485606
59,512354,512360,4,-,LYS14,512357,512257,512457
60,512644,512650,4,-,LYS14,512647,512547,512747
61,836021,836027,4,-,SND1,836024,835924,836124
62,974357,974363,4,-,HSP78,974360,974260,974460
63,1003744,1003750,4,-,CIA1,1003747,1003647,1003847
64,1153820,1153826,4,-,YDR341C,1153823,1153723,1153923
65,1242199,1242205,4,-,ATO3,1242202,1242102,1242302
66,1289021,1289027,4,-,ADE8,1289024,1288924,1289124
67,1289035,1289041,4,-,ADE8,1289038,1288938,1289138
68,1296883,1296888,4,-,ERD1,1296886,1296786,1296986
69,1334008,1334014,4,-,PPM1,1334011,1333911,1334111
70,1447532,1447538,4,-,SEC20,1447535,1447435,1447635
71,46708,46714,5,+,HAT2,46711,46611,46811
72,152965,152971,5,+,MNN1,152968,152868,153068
73,281588,281594,5,+,THO1,281591,281491,281691
74,288884,288890,5,+,RRT13,288887,288787,288987
75,303802,303808,5,+,ALD5,303805,303705,303905
76,337786,337792,5,+,TRP2,337789,337689,337889
77,342620,342626,5,+,IES5,342623,342523,342723
78,525756,525762,5,+,ADK2,525759,525659,525859
79,526743,526749,5,+,RAD3,526746,526646,526846
80,265962,265968,5,-,HIS1,265965,265865,266065
81,266062,266068,5,-,HIS1,266065,265965,266165
82,279749,279755,5,-,CEM1,279752,279652,279852
83,313741,313747,5,-,YER076C,313744,313644,313844
84,337786,337792,5,-,PTC2,337789,337689,337889
85,342620,342626,5,-,MET6,342623,342523,342723
86,106582,106588,6,+,HSP12,106585,106485,106685
87,194421,194427,6,+,ATG18,194424,194324,194524
88,194467,194473,6,+,ATG18,194470,194370,194570
89,263597,263603,6,+,IRC7,263600,263500,263700
90,106582,106588,6,-,MDJ1,106585,106485,106685
91,98871,98875,7,+,SPT16,98873,98773,98973
92,92011,92017,7,+,NCS6,92014,91914,92114
93,56297,56303,7,+,"ADE5,7",56300,56200,56400
94,20437,20443,7,+,ZRT1,20440,20340,20540
95,599248,599254,7,+,MUP1,599251,599151,599351
96,672088,672094,7,+,VAS1,672091,671991,672191
97,984428,984434,7,+,CPD1,984431,984331,984531
98,809813,809819,7,+,YGR161W-C,809816,809716,809916
99,421071,421077,7,-,HEM2,421074,420974,421174
100,56297,56303,7,-,MTO1,56300,56200,56400
101,616236,616242,7,-,ADE6,616239,616139,616339
102,653597,653603,7,-,PDC6,653600,653500,653700
103,793718,793724,7,-,CCM1,793721,793621,793821
104,809813,809819,7,-,RTS3,809816,809716,809916
105,855023,855029,7,-,OKP1,855026,854926,855126
106,963900,963906,7,-,SPG1,963903,963803,964003
107,984428,984434,7,-,BRF1,984431,984331,984531
108,1011167,1011173,7,-,RAD2,1011170,1011070,1011270
109,50963,50969,8,+,RIM101,50966,50866,51066
110,143814,143820,8,+,YHR020W,143817,143717,143917
111,250849,250855,8,+,PTC7,250852,250752,250952
112,422699,422705,8,+,MPC2,422702,422602,422802
113,484580,484586,8,+,ERG9,484583,484483,484683
114,491507,491513,8,+,UTP9,491510,491410,491610
115,97481,97487,8,+,YHL006W-A,97484,97384,97584
116,94701,94707,8,-,YHL008C,94704,94604,94804
117,74666,74672,8,-,DUR3,74669,74569,74769
118,34659,34665,8,-,SBP1,34662,34562,34762
119,26770,26776,8,-,YHL037C,26773,26673,26873
120,143814,143820,8,-,DED81,143817,143717,143917
121,225373,225379,8,-,PAN5,225376,225276,225476
122,289539,289545,8,-,HXT4,289542,289442,289642
123,422699,422705,8,-,YAP1801,422702,422602,422802
124,501510,501516,8,-,PPX1,501513,501413,501613
125,239366,239372,8,-,YHR071C-A,239369,239269,239469
126,151362,151368,9,+,HOS4,151365,151265,151465
127,113717,113723,9,+,MET18,113720,113620,113820
128,83270,83274,9,+,CCT2,83272,83172,83372
129,222638,222644,9,-,SER33,222641,222541,222741
130,202517,202523,9,-,KTR7,202520,202420,202620
131,113717,113723,9,-,TAO3,113720,113620,113820
132,83270,83275,9,-,SSL2,83272,83172,83372
133,76554,76560,9,-,ATG32,76557,76457,76657
134,34793,34799,9,-,NIT1,34796,34696,34896
135,34793,34799,9,-,YIL165C,34796,34696,34896
136,267321,267327,9,-,YIL047C-A,267324,267224,267424
137,424731,424737,10,+,CYR1,424734,424634,424834
138,342459,342465,10,+,MTR4,342462,342362,342562
139,503575,503581,10,+,MLO127,503578,503478,503678
140,719161,719167,10,+,DAL5,719164,719064,719264
141,424731,424737,10,-,CTK2,424734,424634,424834
142,471786,471792,10,-,BNA1,471789,471689,471889
143,503847,503853,10,-,HUL4,503850,503750,503950
144,217012,217018,11,+,OAC1,217015,216915,217115
145,171468,171474,11,+,AVT3,171471,171371,171571
146,80720,80726,11,+,DPH2,80723,80623,80823
147,581626,581632,11,+,ECM4,581629,581529,581729
148,590115,590121,11,+,MTD1,590118,590018,590218
149,327875,327881,11,-,FBA1,327878,327778,327978
150,271066,271072,11,-,YKL091C,271069,270969,271169
151,219362,219368,11,-,VPH2,219365,219265,219465
152,171468,171474,11,-,SDH1,171471,171371,171571
153,80720,80726,11,-,ACP1,80723,80623,80823
154,18894,18900,11,-,SRY1,18897,18797,18997
155,11710,11716,11,-,FRE2,11713,11613,11813
156,466386,466392,11,-,YPT52,466389,466289,466489
157,590115,590121,11,-,TRZ1,590118,590018,590218
158,84027,84033,12,+,TPO1,84030,83930,84130
159,84621,84627,12,+,TPO1,84624,84524,84724
160,81309,81315,12,+,FRA1,81312,81212,81412
161,73203,73209,12,+,IRC19,73206,73106,73306
162,320619,320625,12,+,XDJ1,320622,320522,320722
163,556750,556756,12,+,HRD3,556753,556653,556853
164,723411,723417,12,+,YLR297W,723414,723314,723514
165,818731,818737,12,+,RPL26A,818734,818634,818834
166,839564,839565,12,+,ATG33,839564,839464,839664
167,839586,839592,12,+,ATG33,839589,839489,839689
168,982630,982636,12,+,TUS1,982633,982533,982733
169,1012373,1012379,12,+,CAR2,1012376,1012276,1012476
170,1024707,1024713,12,+,YLR446W,1024710,1024610,1024810
171,73203,73209,12,-,RIX7,73206,73106,73306
172,27096,27102,12,-,JLP1,27099,26999,27199
173,198222,198228,12,-,AAT2,198225,198125,198325
174,320619,320625,12,-,ALT1,320622,320522,320722
175,602857,602863,12,-,ECM22,602860,602760,602960
176,783919,783925,12,-,TMA10,783922,783822,784022
177,839559,839565,12,-,ILV5,839562,839462,839662
178,839586,839592,12,-,ILV5,839589,839489,839689
179,1012373,1012379,12,-,DIF1,1012376,1012276,1012476
180,109350,109356,12,-,COX19,109353,109253,109453
181,228858,228864,13,+,APT1,228861,228761,228961
182,91851,91857,13,+,UFO1,91854,91754,91954
183,37882,37888,13,+,ATR1,37885,37785,37985
184,37911,37917,13,+,ATR1,37914,37814,38014
185,312107,312113,13,+,STB4,312110,312010,312210
186,337632,337638,13,+,ARP9,337635,337535,337735
187,382432,382438,13,+,STV1,382435,382335,382535
188,458102,458108,13,+,SNZ1,458105,458005,458205
189,637208,637214,13,+,GCV2,637211,637111,637311
190,838153,838159,13,+,YKU70,838156,838056,838256
191,228858,228864,13,-,NSE5,228861,228761,228961
192,458102,458108,13,-,SNO1,458105,458005,458205
193,540218,540224,13,-,GID8,540221,540121,540321
194,557292,557298,13,-,NDE1,557295,557195,557395
195,637208,637214,13,-,MRPS17,637211,637111,637311
196,756503,756509,13,-,ZRC1,756506,756406,756606
197,807772,807778,13,-,URA10,807775,807675,807875
198,392722,392728,14,+,NAF1,392725,392625,392825
199,351592,351598,14,+,YNL146W,351595,351495,351695
200,339803,339809,14,+,IGO1,339806,339706,339906
201,340033,340039,14,+,IGO1,340036,339936,340136
202,234191,234197,14,+,ADE12,234194,234094,234294
203,65414,65420,14,+,TOS6,65417,65317,65517
204,675641,675647,14,+,CPR8,675644,675544,675744
205,733906,733912,14,+,BIO3,733909,733809,734009
206,733919,733925,14,+,BIO3,733922,733822,734022
207,739837,739843,14,+,FRE4,739840,739740,739940
208,425400,425406,14,+,YNL103W-A,425403,425303,425503
209,440690,440696,14,-,RAS2,440693,440593,440793
210,392722,392728,14,-,ESBP6,392725,392625,392825
211,308767,308773,14,-,NOP13,308770,308670,308870
212,234191,234197,14,-,POP1,234194,234094,234294
213,19885,19891,14,-,RPD3,19888,19788,19988
214,733906,733912,14,-,BIO5,733909,733809,734009
215,733919,733925,14,-,BIO5,733922,733822,734022
216,304089,304095,15,+,PLB3,304092,303992,304192
217,218865,218871,15,+,ARG1,218868,218768,218968
218,161893,161899,15,+,PHM7,161896,161796,161996
219,58578,58584,15,+,ARG8,58581,58481,58681
220,48712,48718,15,+,PSF3,48715,48615,48815
221,412706,412712,15,+,IRC23,412709,412609,412809
222,605486,605492,15,+,YOR146W,605489,605389,605589
223,679172,679178,15,+,SER1,679175,679075,679275
224,762294,762300,15,+,HER1,762297,762197,762397
225,1050787,1050793,15,+,RDR1,1050790,1050690,1050890
226,636951,636957,15,+,YOR161W-A,636954,636854,637054
227,636951,636957,15,+,YOR161W-B,636954,636854,637054
228,1044412,1044418,15,+,YOR376W-A,1044415,1044315,1044515
229,1056884,1056890,15,+,YOR381W-A,1056887,1056787,1056987
230,304089,304095,15,-,HTZ1,304092,303992,304192
231,96504,96510,15,-,MCH4,96507,96407,96607
232,48712,48718,15,-,PEX11,48715,48615,48815
233,427354,427360,15,-,TMC1,427357,427257,427457
234,461542,461548,15,-,NRT1,461545,461445,461645
235,571033,571039,15,-,ORT1,571036,570936,571136
236,679172,679178,15,-,RPS30B,679175,679075,679275
237,682461,682467,15,-,GSP2,682464,682364,682564
238,762294,762300,15,-,ISU2,762297,762197,762397
239,891956,891962,15,-,MCH5,891959,891859,892059
240,921345,921351,15,-,LDB19,921348,921248,921448
241,1019467,1019473,15,-,PRE10,1019470,1019370,1019570
242,548242,548248,16,+,AEP3,548245,548145,548345
243,361702,361707,16,+,ATG21,361704,361604,361804
244,339504,339510,16,+,CAR1,339507,339407,339607
245,47173,47179,16,+,FUM1,47176,47076,47276
246,172785,172791,16,-,YPL199C,172788,172688,172888
247,47173,47179,16,-,KEL3,47176,47076,47276
248,565193,565199,16,-,AIM45,565196,565096,565296
