,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,33081,33087,1,+,BDH2,33084,32984,33184
1,190044,190050,1,+,YAT1,190047,189947,190147
2,11240,11246,1,+,YAL064W-B,11243,11143,11343
3,209370,209376,2,+,HIR1,209373,209273,209473
4,159803,159809,2,+,HEK2,159806,159706,159906
5,140848,140854,2,+,PRE7,140851,140751,140951
6,63525,63531,2,+,BOI1,63528,63428,63628
7,45368,45374,2,+,RPL32,45371,45271,45471
8,256010,256016,2,+,HHT1,256013,255913,256113
9,278751,278757,2,+,GAL1,278754,278654,278854
10,280888,280894,2,+,FUR4,280891,280791,280991
11,431550,431556,2,+,PBY1,431553,431453,431653
12,452305,452311,2,+,SND3,452308,452208,452408
13,452308,452314,2,+,SND3,452311,452211,452411
14,604269,604275,2,+,RPS9B,604272,604172,604372
15,628496,628502,2,+,COS111,628499,628399,628599
16,728659,728665,2,+,POP4,728662,728562,728762
17,773692,773698,2,+,YBR285W,773695,773595,773795
18,786480,786486,2,+,VBA2,786483,786383,786583
19,800362,800368,2,+,MAL33,800365,800265,800465
20,490656,490662,2,+,MEO1,490659,490559,490759
21,490656,490662,2,+,YBR126W-B,490659,490559,490759
22,159803,159809,2,-,RIB1,159806,159706,159906
23,140848,140854,2,-,FUI1,140851,140751,140951
24,45368,45374,2,-,YBL094C,45371,45271,45471
25,256010,256016,2,-,HHF1,256013,255913,256113
26,278751,278757,2,-,GAL10,278754,278654,278854
27,294179,294185,2,-,ETR1,294182,294082,294282
28,338518,338524,2,-,REG2,338521,338421,338621
29,338543,338549,2,-,REG2,338546,338446,338646
30,360449,360455,2,-,AKL1,360452,360352,360552
31,376044,376050,2,-,BAP2,376047,375947,376147
32,431550,431556,2,-,PHO5,431553,431453,431653
33,452305,452311,2,-,VID24,452308,452208,452408
34,452308,452314,2,-,VID24,452311,452211,452411
35,490656,490662,2,-,TPS1,490659,490559,490759
36,501716,501722,2,-,AGP2,501719,501619,501819
37,555434,555440,2,-,ICS2,555437,555337,555537
38,604269,604275,2,-,NTC20,604272,604172,604372
39,614511,614517,2,-,PGI1,614514,614414,614614
40,614540,614546,2,-,PGI1,614543,614443,614643
41,643141,643147,2,-,"DUR1,2",643144,643044,643244
42,643193,643199,2,-,"DUR1,2",643196,643096,643296
43,728659,728665,2,-,RIB5,728662,728562,728762
44,798982,798988,2,-,PHO89,798985,798885,799085
45,805056,805062,2,-,MAL31,805059,804959,805159
46,50620,50626,3,+,GLK1,50623,50523,50723
47,104027,104033,3,-,GBP2,104030,103930,104130
48,78305,78311,3,-,AGP1,78308,78208,78408
49,120621,120627,3,-,YCP4,120624,120524,120724
50,133666,133667,3,-,ADY2,133666,133566,133766
51,299243,299249,3,-,GIT1,299246,299146,299346
52,431769,431775,4,+,GRX6,431772,431672,431872
53,413737,413743,4,+,GPM2,413740,413640,413840
54,369124,369130,4,+,SIT4,369127,369027,369227
55,172338,172344,4,+,STE7,172341,172241,172441
56,158896,158902,4,+,SFA1,158899,158799,158999
57,147838,147844,4,+,PAR32,147841,147741,147941
58,117484,117490,4,+,RPL35A,117487,117387,117587
59,36694,36700,4,+,MFG1,36697,36597,36797
60,22453,22459,4,+,LRG1,22456,22356,22556
61,463137,463143,4,+,GAL3,463140,463040,463240
62,465460,465466,4,+,SNQ2,465463,465363,465563
63,491284,491290,4,+,RPS11A,491287,491187,491387
64,591748,591754,4,+,SNF11,591751,591651,591851
65,592023,592029,4,+,SNF11,592026,591926,592126
66,592312,592318,4,+,SNF11,592315,592215,592415
67,636221,636227,4,+,GIS1,636224,636124,636324
68,636229,636235,4,+,GIS1,636232,636132,636332
69,654880,654886,4,+,TVP15,654883,654783,654983
70,675898,675904,4,+,FOB1,675901,675801,676001
71,835960,835966,4,+,CCT6,835963,835863,836063
72,856157,856162,4,+,SPC19,856160,856060,856260
73,909641,909647,4,+,YDR222W,909644,909544,909744
74,955400,955406,4,+,VHS1,955403,955303,955503
75,955437,955443,4,+,VHS1,955440,955340,955540
76,1035906,1035912,4,+,INM2,1035909,1035809,1036009
77,1056224,1056230,4,+,SUR2,1056227,1056127,1056327
78,1067582,1067588,4,+,GPI11,1067585,1067485,1067685
79,1236305,1236311,4,+,YRA1,1236308,1236208,1236408
80,1269560,1269566,4,+,HPT1,1269563,1269463,1269663
81,1322082,1322088,4,+,RPN9,1322085,1321985,1322185
82,1334422,1334428,4,+,PPZ2,1334425,1334325,1334525
83,1345544,1345550,4,+,YDR442W,1345547,1345447,1345647
84,1468906,1468912,4,+,SMT3,1468909,1468809,1469009
85,1476778,1476784,4,+,GRH1,1476781,1476681,1476881
86,228939,228945,4,+,STF1,228942,228842,229042
87,690688,690694,4,+,COX26,690691,690591,690791
88,431769,431775,4,-,YDL012C,431772,431672,431872
89,366276,366282,4,-,KNH1,366279,366179,366379
90,315067,315073,4,-,MRK1,315070,314970,315170
91,300384,300390,4,-,ASM4,300387,300287,300487
92,172338,172344,4,-,DHH1,172341,172241,172441
93,158896,158902,4,-,UGX2,158899,158799,158999
94,147838,147844,4,-,DLD1,147841,147741,147941
95,76996,77002,4,-,PRR2,76999,76899,77099
96,36694,36700,4,-,GYP7,36697,36597,36797
97,504933,504939,4,-,PST2,504936,504836,505036
98,591748,591754,4,-,IPT1,591751,591651,591851
99,592023,592029,4,-,IPT1,592026,591926,592126
100,619972,619978,4,-,SLU7,619975,619875,620075
101,620114,620120,4,-,SLU7,620117,620017,620217
102,675898,675904,4,-,YDR109C,675901,675801,676001
103,835960,835966,4,-,SND1,835963,835863,836063
104,856158,856162,4,-,VPS64,856160,856060,856260
105,969854,969860,4,-,CTA1,969857,969757,969957
106,1016125,1016131,4,-,MTH1,1016128,1016028,1016228
107,1016319,1016325,4,-,MTH1,1016322,1016222,1016422
108,1035906,1035912,4,-,MGP12,1035909,1035809,1036009
109,1156479,1156485,4,-,HXT7,1156482,1156382,1156582
110,1334422,1334428,4,-,PPM1,1334425,1334325,1334525
111,1468906,1468912,4,-,GNP1,1468909,1468809,1469009
112,1476778,1476784,4,-,EMI2,1476781,1476681,1476881
113,132870,132876,5,+,GLC3,132873,132773,132973
