name,orf,desc,introns,status,sgd,extra,chr_loc,start,stop,orf_start,orf_stop
TFC3,YAL001C,Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (“extra TFIIIC)” sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes,[151097 151006],Verified ORF,S000000001,"reverse complement, intron sequence removed",1,151166,147594,151209,147521
VPS8,YAL002W,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,[],Verified ORF,S000000002,[],1,143707,147531,143612,147587
EFB1,YAL003W,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants",[142253 142620],Verified ORF,S000000003,intron sequence removed,1,142174,143160,142153,143381
YAL004W,YAL004W,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",[],Dubious ORF,S000002136,[],1,140760,141407,,
SSA1,YAL005C,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",[],Verified ORF,S000000004,reverse complement,1,141431,139503,141493,139357
ERP2,YAL007C,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication",[],Verified ORF,S000000005,reverse complement,1,138345,137698,138414,137552
FUN14,YAL008W,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis",[],Verified ORF,S000000006,[],1,136914,137510,136866,137637
SPO7,YAL009W,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",[],Verified ORF,S000000007,[],1,135854,136633,135823,136756
MDM10,YAL010C,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase",[],Verified ORF,S000000008,reverse complement,1,135665,134184,135702,134083
SWC3,YAL011W,"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",[],Verified ORF,S000000009,[],1,132199,134076,132195,134175
CYS3,YAL012W,Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress,[],Verified ORF,S000000010,[],1,130799,131983,130742,132082
DEP1,YAL013W,"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",[],Verified ORF,S000000011,[],1,129270,130487,129236,130588
SYN8,YAL014C,Endosomal SNARE related to mammalian syntaxin 8,[],Verified ORF,S000000012,reverse complement,1,129019,128252,129067,128118
NTG1,YAL015C,"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",[],Verified ORF,S000000013,reverse complement,1,128102,126903,128074,126746
TPD3,YAL016W,Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III,[],Verified ORF,S000000014,[],1,124879,126786,124786,126870
PSK1,YAL017W,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",[],Verified ORF,S000000015,[],1,120225,124295,119862,124446
LDS1,YAL018C,"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",[],Verified ORF,S000000016,reverse complement,1,119541,118564,,
FUN30,YAL019W,"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate",[],Verified ORF,S000000017,[],1,114919,118314,114813,118363
ATS1,YAL020C,"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p",[],Verified ORF,S000000018,reverse complement,1,114615,113614,114637,113539
CCR4,YAL021C,"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",[],Verified ORF,S000000019,reverse complement,1,113359,110846,113418,110616
