,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,39185,39192,1,+,GPB2,39188,39088,39288
1,31301,31308,1,+,GDH3,31304,31204,31404
2,31305,31312,1,+,GDH3,31308,31208,31408
3,9826,9833,1,-,SEO1,9830,9730,9930
4,169942,169949,2,+,LSM2,169946,169846,170046
5,620632,620639,2,+,BEM1,620636,620536,620736
6,143010,143017,2,+,MIN6,143014,142914,143114
7,143010,143017,2,-,ERD2,143014,142914,143114
8,251223,251230,2,-,DSF2,251226,251126,251326
9,324081,324088,2,-,QDR3,324084,323984,324184
10,589396,589403,2,-,FZO1,589400,589300,589500
11,642684,642691,2,-,"DUR1,2",642688,642588,642788
12,642719,642726,2,-,"DUR1,2",642722,642622,642822
13,642880,642887,2,-,"DUR1,2",642884,642784,642984
14,670862,670869,2,-,TDP1,670866,670766,670966
15,17245,17249,3,+,VAC17,17247,17147,17347
16,137212,137219,3,+,PGK1,137216,137116,137316
17,293634,293641,3,+,HMRA1,293638,293538,293738
18,105815,105822,3,-,ILV6,105818,105718,105918
19,78343,78350,3,-,AGP1,78346,78246,78446
20,17245,17250,3,-,CHA1,17248,17148,17348
21,137212,137219,3,-,ADP1,137216,137116,137316
22,428643,428650,4,+,SLX5,428646,428546,428746
23,377901,377908,4,+,YDL041W,377904,377804,378004
24,292468,292475,4,+,SRP14,292472,292372,292572
25,232295,232302,4,+,VCX1,232298,232198,232398
26,212911,212918,4,+,RGT2,212914,212814,213014
27,156112,156119,4,+,UGA3,156116,156016,156216
28,133338,133345,4,+,LYS20,133342,133242,133442
29,133388,133395,4,+,LYS20,133392,133292,133492
30,126637,126644,4,+,VMA1,126640,126540,126740
31,42448,42455,4,+,PTP1,42452,42352,42552
32,32116,32123,4,+,PHO13,32120,32020,32220
33,621460,621467,4,+,VTC5,621464,621364,621564
34,652595,652602,4,+,BMH2,652598,652498,652698
35,1008931,1008938,4,+,DON1,1008934,1008834,1009034
36,1269765,1269772,4,+,HPT1,1269768,1269668,1269868
37,1334136,1334143,4,+,PPZ2,1334140,1334040,1334240
38,1334149,1334156,4,+,PPZ2,1334152,1334052,1334252
39,1420998,1421005,4,+,KRE2,1421002,1420902,1421102
40,819203,819209,4,+,NVJ3,819206,819106,819306
41,946657,946664,4,+,AMD2,946660,946560,946760
42,389018,389025,4,-,PUS9,389022,388922,389122
43,156112,156119,4,-,GLT1,156116,156016,156216
44,133338,133345,4,-,YDL183C,133342,133242,133442
45,126637,126644,4,-,YDL187C,126640,126540,126740
46,42448,42455,4,-,BRE4,42452,42352,42552
47,543812,543819,4,-,NRG1,543816,543716,543916
48,544124,544131,4,-,NRG1,544128,544028,544228
49,560934,560941,4,-,DBF4,560938,560838,561038
50,626222,626229,4,-,ILT1,626226,626126,626326
51,819204,819209,4,-,CSN9,819206,819106,819306
52,1080792,1080799,4,-,GIC2,1080796,1080696,1080896
53,1090296,1090303,4,-,PIB1,1090300,1090200,1090400
54,1334136,1334143,4,-,PPM1,1334140,1334040,1334240
55,1334149,1334156,4,-,PPM1,1334152,1334052,1334252
