,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,45358,45366,1,+,FLC2,45362,45262,45462
1,45360,45368,1,+,FLC2,45364,45264,45464
2,45361,45369,1,+,FLC2,45365,45265,45465
3,33084,33092,1,+,BDH2,33088,32988,33188
4,189767,189775,1,+,YAT1,189771,189671,189871
5,69735,69743,1,-,CYC3,69739,69639,69839
6,45358,45366,1,-,ACS1,45362,45262,45462
7,45360,45368,1,-,ACS1,45364,45264,45464
8,45361,45369,1,-,ACS1,45365,45265,45465
9,159798,159806,2,+,HEK2,159802,159702,159902
10,63528,63536,2,+,BOI1,63532,63432,63632
11,45040,45048,2,+,RPL32,45044,44944,45144
12,255864,255872,2,+,HHT1,255868,255768,255968
13,269916,269924,2,+,YBR016W,269920,269820,270020
14,331620,331628,2,+,FMP23,331624,331524,331724
15,452228,452236,2,+,SND3,452232,452132,452332
16,452311,452319,2,+,SND3,452315,452215,452415
17,467015,467023,2,+,RAD16,467019,466919,467119
18,549577,549585,2,+,CNS1,549581,549481,549681
19,625164,625172,2,+,MCM7,625168,625068,625268
20,799843,799851,2,+,MAL33,799847,799747,799947
21,89634,89642,2,+,KTI11,89638,89538,89738
22,237605,237613,2,-,ECM15,237609,237509,237709
23,159798,159806,2,-,RIB1,159802,159702,159902
24,88090,88098,2,-,AAR2,88094,87994,88194
25,80795,80803,2,-,ATG8,80799,80699,80899
26,61071,61079,2,-,RPL23A,61075,60975,61175
27,45040,45048,2,-,YBL094C,45044,44944,45144
28,255864,255872,2,-,HHF1,255868,255768,255968
29,269916,269924,2,-,MNN2,269920,269820,270020
30,331620,331628,2,-,ZTA1,331624,331524,331724
31,362697,362705,2,-,ORC2,362701,362601,362801
32,452228,452236,2,-,VID24,452232,452132,452332
33,452311,452319,2,-,VID24,452315,452215,452415
34,501711,501719,2,-,AGP2,501715,501615,501815
35,549577,549585,2,-,RPB5,549581,549481,549681
36,666456,666463,2,-,PDB1,666460,666360,666560
37,784837,784845,2,-,CTP1,784841,784741,784941
38,785216,785224,2,-,CTP1,785220,785120,785320
39,89634,89642,2,-,YBL071C-B,89638,89538,89738
40,625164,625172,2,-,MIN7,625168,625068,625268
41,211840,211848,3,+,ARE1,211844,211744,211944
42,106256,106264,3,-,ILV6,106260,106160,106360
43,106259,106267,3,-,ILV6,106263,106163,106363
44,106265,106272,3,-,ILV6,106268,106168,106368
45,78109,78117,3,-,AGP1,78113,78013,78213
46,172666,172674,3,-,FEN2,172670,172570,172770
47,211840,211848,3,-,BUD23,211844,211744,211944
48,413241,413249,4,+,GPM2,413245,413145,413345
49,411439,411447,4,+,GPD1,411443,411343,411543
50,411467,411475,4,+,GPD1,411471,411371,411571
51,377529,377537,4,+,YDL041W,377533,377433,377633
52,371059,371067,4,+,NPC2,371063,370963,371163
53,308299,308307,4,+,RPL13A,308303,308203,308403
54,247703,247711,4,+,CYK3,247707,247607,247807
55,240073,240081,4,+,YDL124W,240077,239977,240177
56,213097,213105,4,+,RGT2,213101,213001,213201
57,147807,147815,4,+,PAR32,147811,147711,147911
58,137617,137625,4,+,PCL9,137621,137521,137721
59,121784,121792,4,+,RBS1,121788,121688,121888
60,111243,111251,4,+,SNF3,111247,111147,111347
61,83931,83939,4,+,UGA4,83935,83835,84035
62,22445,22453,4,+,LRG1,22449,22349,22549
63,539109,539117,4,+,RSM10,539113,539013,539213
64,569972,569980,4,+,MAK21,569976,569876,570076
65,593400,593408,4,+,TPS2,593404,593304,593504
66,593449,593457,4,+,TPS2,593453,593353,593553
67,636232,636240,4,+,GIS1,636236,636136,636336
68,636398,636406,4,+,GIS1,636402,636302,636502
69,702819,702827,4,+,SWF1,702823,702723,702923
70,727948,727956,4,+,RGP1,727952,727852,728052
71,727989,727997,4,+,RGP1,727993,727893,728093
72,769323,769331,4,+,RPA14,769327,769227,769427
73,790245,790253,4,+,CDC37,790249,790149,790349
74,835970,835978,4,+,CCT6,835974,835874,836074
75,836181,836189,4,+,CCT6,836185,836085,836285
76,868035,868043,4,+,MSS4,868039,867939,868139
77,884480,884488,4,+,GCD6,884484,884384,884584
78,889062,889070,4,+,UPC2,889066,888966,889166
79,911834,911842,4,+,CRF1,911838,911738,911938
80,1056219,1056227,4,+,SUR2,1056223,1056123,1056323
81,1184525,1184533,4,+,TRP4,1184529,1184429,1184629
82,1233745,1233753,4,+,ARO10,1233749,1233649,1233849
83,1242544,1242552,4,+,EFT2,1242548,1242448,1242648
84,1242549,1242557,4,+,EFT2,1242553,1242453,1242653
85,1251909,1251917,4,+,SAC7,1251913,1251813,1252013
86,1468636,1468644,4,+,SMT3,1468640,1468540,1468740
87,1490791,1490799,4,+,RBA50,1490795,1490695,1490895
88,1202027,1202035,4,+,SEM1,1202031,1201931,1202131
89,521201,521209,4,+,YDR034W-B,521205,521105,521305
90,946291,946299,4,+,AMD2,946295,946195,946395
91,409977,409985,4,-,DIA3,409981,409881,410081
92,357324,357332,4,-,PSA1,357328,357228,357428
93,315059,315067,4,-,MRK1,315063,314963,315163
94,315061,315069,4,-,MRK1,315065,314965,315165
95,308299,308307,4,-,RPS16B,308303,308203,308403
96,300388,300396,4,-,ASM4,300392,300292,300492
97,255538,255546,4,-,IWR1,255542,255442,255642
98,247703,247711,4,-,HEM25,247707,247607,247807
99,240073,240081,4,-,HNT1,240077,239977,240177
100,238818,238826,4,-,CDC48,238822,238722,238922
101,147807,147815,4,-,DLD1,147811,147711,147911
102,121785,121792,4,-,UFD2,121788,121688,121888
103,478884,478892,4,-,DAD1,478888,478788,478988
104,501577,501585,4,-,REG1,501581,501481,501681
105,569972,569980,4,-,UBC5,569976,569876,570076
106,644989,644997,4,-,GRX3,644993,644893,645093
107,702819,702827,4,-,ECM18,702823,702723,702923
108,727948,727956,4,-,YCF1,727952,727852,728052
109,727989,727997,4,-,YCF1,727993,727893,728093
110,769323,769331,4,-,YDR154C,769327,769227,769427
111,769323,769331,4,-,CPR1,769327,769227,769427
112,835970,835978,4,-,SND1,835974,835874,836074
113,836181,836189,4,-,SND1,836185,836085,836285
114,868035,868043,4,-,UME6,868039,867939,868139
115,1013896,1013904,4,-,PMP3,1013900,1013800,1014000
116,1013978,1013986,4,-,PMP3,1013982,1013882,1014082
117,1016311,1016319,4,-,MTH1,1016315,1016215,1016415
118,1016314,1016322,4,-,MTH1,1016318,1016218,1016418
119,1022585,1022593,4,-,PHM6,1022589,1022489,1022689
120,1242544,1242552,4,-,ATO3,1242548,1242448,1242648
121,1242549,1242557,4,-,ATO3,1242553,1242453,1242653
122,1411370,1411378,4,-,YDR476C,1411374,1411274,1411474
123,1466321,1466329,4,-,GIN4,1466325,1466225,1466425
124,1468636,1468644,4,-,GNP1,1468640,1468540,1468740
125,1233745,1233753,4,-,SDH6,1233749,1233649,1233849
126,46598,46606,5,+,HAT2,46602,46502,46702
127,46992,47000,5,+,HAT2,46996,46896,47096
128,42685,42693,5,+,PCM1,42689,42589,42789
129,225233,225241,5,+,PHM8,225237,225137,225337
130,225388,225396,5,+,PHM8,225392,225292,225492
131,225444,225452,5,+,PHM8,225448,225348,225548
132,303766,303774,5,+,ALD5,303770,303670,303870
133,354649,354657,5,+,UBP9,354653,354553,354753
134,355240,355248,5,+,UBP9,355244,355144,355344
135,362498,362506,5,+,RPS8B,362502,362402,362602
136,401061,401069,5,+,SCS2,401065,400965,401165
137,456179,456187,5,+,DDI1,456183,456083,456283
138,468102,468110,5,+,SPI1,468106,468006,468206
139,468107,468115,5,+,SPI1,468111,468011,468211
140,545187,545195,5,+,BMH1,545191,545091,545291
141,545188,545196,5,+,BMH1,545192,545092,545292
142,545189,545197,5,+,BMH1,545193,545093,545293
143,545190,545198,5,+,BMH1,545194,545094,545294
144,545191,545199,5,+,BMH1,545195,545095,545295
145,545192,545200,5,+,BMH1,545196,545096,545296
146,545193,545201,5,+,BMH1,545197,545097,545297
147,545194,545202,5,+,BMH1,545198,545098,545298
148,545196,545204,5,+,BMH1,545200,545100,545300
149,546637,546645,5,+,PDA1,546641,546541,546741
150,567889,567895,5,+,YER188W,567892,567792,567992
151,567891,567895,5,+,YER188W,567893,567793,567993
152,150099,150107,5,-,WBP1,150103,150003,150203
153,60988,60996,5,-,RML2,60992,60892,61092
154,225233,225241,5,-,ARB1,225237,225137,225337
155,225388,225396,5,-,ARB1,225392,225292,225492
156,225444,225452,5,-,ARB1,225448,225348,225548
157,311942,311950,5,-,PTP3,311946,311846,312046
158,311947,311955,5,-,PTP3,311951,311851,312051
159,362498,362506,5,-,AST2,362502,362402,362602
160,401061,401069,5,-,AVT6,401065,400965,401165
161,456179,456187,5,-,MAG1,456183,456083,456283
162,468102,468110,5,-,PEA2,468106,468006,468206
163,468107,468115,5,-,PEA2,468111,468011,468211
164,504128,504136,5,-,GCG1,504132,504032,504232
165,563277,563285,5,-,YER186C,563281,563181,563381
166,167101,167109,5,-,TMA20,167105,167005,167205
167,42685,42693,5,-,SOM1,42689,42589,42789
168,239649,239657,5,-,MEI4,239653,239553,239753
169,140993,141001,5,-,YEL008C-A,140997,140897,141097
170,146971,146979,6,+,DEG1,146975,146875,147075
171,107063,107071,6,+,HSP12,107067,106967,107167
172,28106,28114,6,+,ZNF1,28110,28010,28210
173,148994,149002,6,+,LOC1,148998,148898,149098
174,184281,184289,6,+,FAB1,184285,184185,184385
175,213057,213065,6,+,MET10,213061,212961,213161
176,213103,213111,6,+,MET10,213107,213007,213207
177,248265,248273,6,+,YMR31,248269,248169,248369
178,263771,263779,6,+,IRC7,263775,263675,263875
179,146971,146979,6,-,SPB4,146975,146875,147075
180,45029,45037,6,-,SEC53,45033,44933,45133
181,184281,184289,6,-,YFR018C,184285,184185,184385
182,221517,221525,6,-,RPL2A,221521,221421,221621
183,222134,222142,6,-,RPL2A,222138,222038,222238
184,483017,483025,7,+,BRP1,483021,482921,483121
185,314559,314567,7,+,LSG1,314563,314463,314663
186,310527,310535,7,+,RPL28,310531,310431,310631
187,293192,293200,7,+,YGL114W,293196,293096,293296
188,115685,115693,7,+,ARO8,115689,115589,115789
189,33319,33327,7,+,ZIP2,33323,33223,33423
190,14270,14278,7,+,ADH4,14274,14174,14374
191,523303,523311,7,+,YGR017W,523307,523207,523407
192,528806,528814,7,+,MTL1,528810,528710,528910
193,547565,547573,7,+,GSC2,547569,547469,547669
194,547718,547726,7,+,GSC2,547722,547622,547822
195,672018,672026,7,+,VAS1,672022,671922,672122
196,733729,733737,7,+,YGR122W,733733,733633,733833
197,754008,754016,7,+,FHN1,754012,753912,754112
198,754070,754078,7,+,FHN1,754074,753974,754174
199,771818,771826,7,+,BTN2,771822,771722,771922
200,771930,771938,7,+,BTN2,771934,771834,772034
201,959818,959826,7,+,YHB1,959822,959722,959922
202,984489,984497,7,+,CPD1,984493,984393,984593
203,1004455,1004463,7,+,GND2,1004459,1004359,1004559
204,483017,483025,7,-,PMA1,483021,482921,483121
205,345241,345249,7,-,MF(ALPHA)2,345245,345145,345345
206,310527,310535,7,-,VPS73,310531,310431,310631
207,269787,269795,7,-,RSM23,269791,269691,269891
208,197147,197155,7,-,RAD54,197151,197051,197251
209,14270,14278,7,-,MNT2,14274,14174,14374
210,508635,508643,7,-,STF2,508639,508539,508739
211,508637,508645,7,-,STF2,508641,508541,508741
212,581557,581565,7,-,NQM1,581561,581461,581661
213,581594,581602,7,-,NQM1,581598,581498,581698
214,650905,650913,7,-,PIL1,650909,650809,651009
215,651053,651061,7,-,PIL1,651057,650957,651157
216,700424,700432,7,-,VOA1,700428,700328,700528
217,754008,754016,7,-,YGR130C,754012,753912,754112
218,754070,754078,7,-,YGR130C,754074,753974,754174
219,785206,785214,7,-,ECL1,785210,785110,785310
220,856478,856486,7,-,RNR4,856482,856382,856582
221,875513,875521,7,-,BUB1,875517,875417,875617
222,984489,984497,7,-,BRF1,984493,984393,984593
223,1004455,1004463,7,-,COQ6,1004459,1004359,1004559
224,1060148,1060156,7,-,YGR283C,1060152,1060052,1060252
225,54357,54365,8,+,SNF6,54361,54261,54461
226,105380,105388,8,+,OSH7,105384,105284,105484
227,360658,360666,8,+,YHR127W,360662,360562,360762
228,422652,422660,8,+,MPC2,422656,422556,422756
229,208441,208449,8,+,YHR050W-A,208445,208345,208545
230,77603,77611,8,-,YLF2,77607,77507,77707
231,67607,67615,8,-,OPI1,67611,67511,67711
232,54357,54365,8,-,YHL026C,54361,54261,54461
233,25724,25732,8,-,CBP2,25728,25628,25828
234,151223,151231,8,-,YHR022C,151227,151127,151327
235,289308,289316,8,-,HXT4,289312,289212,289412
236,292777,292785,8,-,HXT1,292781,292681,292881
237,315274,315282,8,-,GEP4,315278,315178,315378
238,368062,368070,8,-,YHR131C,368066,367966,368166
239,377812,377820,8,-,YHR138C,377816,377716,377916
240,422652,422660,8,-,YAP1801,422656,422556,422756
241,501475,501483,8,-,PPX1,501479,501379,501579
242,522086,522094,8,-,YHR210C,522090,521990,522190
243,489464,489472,8,-,YHR193C-A,489468,489368,489568
244,193432,193440,9,+,ICE2,193436,193336,193536
245,139397,139405,9,+,RHO3,139401,139301,139501
246,134989,134997,9,+,QDR1,134993,134893,135093
247,131902,131910,9,+,QDR2,131906,131806,132006
248,131972,131980,9,+,QDR2,131976,131876,132076
249,127518,127526,9,+,SIM1,127522,127422,127622
250,381281,381289,9,+,RPR2,381285,381185,381385
251,381281,381289,9,+,YIR016W,381285,381185,381385
252,237885,237893,9,-,YIL067C,237889,237789,237989
253,193432,193440,9,-,UTP25,193436,193336,193536
254,169789,169797,9,-,SLM1,169793,169693,169893
255,138430,138438,9,-,RPI1,138434,138334,138534
256,138431,138439,9,-,RPI1,138435,138335,138535
257,138432,138440,9,-,RPI1,138436,138336,138536
258,138433,138441,9,-,RPI1,138437,138337,138537
259,138434,138442,9,-,RPI1,138438,138338,138538
260,138435,138443,9,-,RPI1,138439,138339,138539
261,393244,393252,9,-,FLO11,393248,393148,393348
262,407234,407242,9,-,DAL1,407238,407138,407338
263,424747,424755,9,-,GTT1,424751,424651,424851
264,339629,339637,10,+,IRC8,339633,339533,339733
265,337809,337817,10,+,TDH1,337813,337713,337913
266,338043,338051,10,+,TDH1,338047,337947,338147
267,265614,265622,10,+,SIP4,265618,265518,265718
268,195580,195588,10,+,ASF1,195584,195484,195684
269,195917,195925,10,+,ASF1,195921,195821,196021
270,150604,150612,10,+,RPB4,150608,150508,150708
271,143161,143169,10,+,IDS2,143165,143065,143265
272,137146,137154,10,+,DAS1,137150,137050,137250
273,119812,119820,10,+,HSP150,119816,119716,119916
274,119997,120005,10,+,HSP150,120001,119901,120101
275,116532,116540,10,+,FMP33,116536,116436,116636
276,106284,106292,10,+,QCR8,106288,106188,106388
277,90627,90635,10,+,RPL17B,90631,90531,90731
278,79705,79713,10,+,MNN5,79709,79609,79809
279,75518,75526,10,+,RPL39,75522,75422,75622
280,71177,71185,10,+,YJL193W,71181,71081,71281
281,36602,36610,10,+,PEX2,36606,36506,36706
282,31488,31496,10,+,YJL213W,31492,31392,31592
283,445333,445341,10,+,APL1,445337,445237,445437
284,455716,455724,10,+,MET3,455720,455620,455820
285,466498,466506,10,+,YJR018W,466502,466402,466602
286,532051,532056,10,+,RAD7,532054,531954,532154
287,555840,555848,10,+,CCT5,555844,555744,555944
288,611063,611071,10,+,YJR096W,611067,610967,611167
289,639709,639717,10,+,YJR115W,639713,639613,639813
290,639710,639718,10,+,YJR115W,639714,639614,639814
291,639711,639719,10,+,YJR115W,639715,639615,639815
292,639712,639720,10,+,YJR115W,639716,639616,639816
293,639713,639721,10,+,YJR115W,639717,639617,639817
294,639714,639722,10,+,YJR115W,639718,639618,639818
295,639715,639723,10,+,YJR115W,639719,639619,639819
296,639716,639724,10,+,YJR115W,639720,639620,639820
297,639717,639725,10,+,YJR115W,639721,639621,639821
298,639718,639726,10,+,YJR115W,639722,639622,639822
299,639719,639727,10,+,YJR115W,639723,639623,639823
300,292183,292191,10,+,YJL077W-B,292187,292087,292287
301,421775,421783,10,-,CCT8,421779,421679,421879
302,391422,391430,10,-,VPS53,391426,391326,391526
303,330224,330232,10,-,IKS1,330228,330128,330328
304,328011,328019,10,-,BIT61,328015,327915,328115
305,314554,314562,10,-,YJL068C,314558,314458,314658
306,291008,291016,10,-,PRY1,291012,290912,291112
307,265614,265622,10,-,DPB11,265618,265518,265718
308,195580,195588,10,-,NCA3,195584,195484,195684
309,156206,156210,10,-,GLG2,156208,156108,156308
310,150604,150612,10,-,YAK1,150608,150508,150708
311,143161,143169,10,-,SMT1,143165,143065,143265
312,137146,137154,10,-,SNA3,137150,137050,137250
313,134064,134072,10,-,VPS35,134068,133968,134168
314,119812,119814,10,-,PIR5,119813,119713,119913
315,90627,90635,10,-,ATG27,90631,90531,90731
316,79705,79713,10,-,SWE1,79709,79609,79809
317,75518,75526,10,-,RPS22A,75522,75422,75622
318,36602,36610,10,-,OPT1,36606,36506,36706
319,445333,445341,10,-,SAG1,445337,445237,445437
320,542788,542796,10,-,YJR056C,542792,542692,542892
321,573287,573295,10,-,OPI3,573291,573191,573391
322,639709,639717,10,-,RSM7,639713,639613,639813
323,639710,639718,10,-,RSM7,639714,639614,639814
324,639711,639719,10,-,RSM7,639715,639615,639815
325,639712,639720,10,-,RSM7,639716,639616,639816
326,639713,639721,10,-,RSM7,639717,639617,639817
327,639714,639722,10,-,RSM7,639718,639618,639818
328,639715,639723,10,-,RSM7,639719,639619,639819
329,639716,639724,10,-,RSM7,639720,639620,639820
330,639717,639725,10,-,RSM7,639721,639621,639821
331,639718,639726,10,-,RSM7,639722,639622,639822
332,639719,639727,10,-,RSM7,639723,639623,639823
333,678738,678746,10,-,TTI2,678742,678642,678842
334,408360,408368,11,+,PUT3,408364,408264,408464
335,387445,387453,11,+,TCD2,387449,387349,387549
336,365164,365172,11,+,RGT1,365168,365068,365268
337,356025,356033,11,+,MMO1,356029,355929,356129
338,356027,356035,11,+,MMO1,356031,355931,356131
339,330127,330135,11,+,TOA2,330131,330031,330231
340,286422,286430,11,+,SMY1,286426,286326,286526
341,278844,278852,11,+,MDH1,278848,278748,278948
342,278182,278190,11,+,SRX1,278186,278086,278286
343,231944,231952,11,+,HAP4,231948,231848,232048
344,226256,226264,11,+,ABF1,226260,226160,226360
345,213337,213345,11,+,DGR2,213341,213241,213441
346,178323,178331,11,+,MRP8,178327,178227,178427
347,171446,171454,11,+,AVT3,171450,171350,171550
348,171521,171529,11,+,AVT3,171525,171425,171625
349,14019,14027,11,+,COS9,14023,13923,14123
350,519115,519123,11,+,UTH1,519119,519019,519219
351,582163,582171,11,+,ECM4,582167,582067,582267
352,408360,408368,11,-,ATP7,408364,408264,408464
353,397452,397460,11,-,CDC16,397456,397356,397556
354,390047,390055,11,-,GPX1,390051,389951,390151
355,382238,382246,11,-,IXR1,382242,382142,382342
356,339022,339030,11,-,DEF1,339026,338926,339126
357,330127,330135,11,-,MPE1,330131,330031,330231
358,278182,278190,11,-,CYT2,278186,278086,278286
359,226256,226264,11,-,RAD27,226260,226160,226360
360,213337,213345,11,-,SRP21,213341,213241,213441
361,171446,171454,11,-,SDH1,171450,171350,171550
362,171521,171529,11,-,SDH1,171525,171425,171625
363,89591,89599,11,-,PXA2,89595,89495,89695
364,74465,74473,11,-,PEX1,74469,74369,74569
365,614267,614275,11,-,SRP40,614271,614171,614371
366,159631,159639,12,+,SSL1,159635,159535,159735
367,194164,194172,12,+,SNF7,194168,194068,194268
368,194170,194178,12,+,SNF7,194174,194074,194274
369,255084,255090,12,+,MNL2,255087,254987,255187
370,262998,263006,12,+,RPL22A,263002,262902,263102
371,368561,368569,12,+,AHP1,368565,368465,368665
372,370717,370725,12,+,YLR112W,370721,370621,370821
373,392644,392652,12,+,YLR125W,392648,392548,392748
374,416854,416862,12,+,RKM5,416858,416758,416958
375,418179,418187,12,+,NHA1,418183,418083,418283
376,440420,440428,12,+,STM1,440424,440324,440524
377,510763,510771,12,+,YLR177W,510767,510667,510867
378,572824,572832,12,+,YLR217W,572828,572728,572928
379,573941,573949,12,+,MSC3,573945,573845,574045
380,704947,704955,12,+,YLR283W,704951,704851,705051
381,784105,784113,12,+,NMA1,784109,784009,784209
382,789840,789848,12,+,MID2,789844,789744,789944
383,830865,830873,12,+,LUG1,830869,830769,830969
384,830884,830892,12,+,LUG1,830888,830788,830988
385,830887,830895,12,+,LUG1,830891,830791,830991
386,843755,843763,12,+,ADE13,843759,843659,843859
387,965668,965676,12,+,DCK1,965672,965572,965772
388,388543,388550,12,+,YLR120W-A,388546,388446,388646
389,388548,388550,12,+,YLR120W-A,388549,388449,388649
390,39633,39641,12,-,FRE6,39637,39537,39737
391,36971,36979,12,-,AQY2,36975,36875,37075
392,36971,36979,12,-,YLL053C,36975,36875,37075
393,159631,159639,12,-,THI73,159635,159535,159735
394,194164,194172,12,-,UBR2,194168,194068,194268
395,194170,194178,12,-,UBR2,194174,194074,194274
396,201775,201783,12,-,ADE16,201779,201679,201879
397,240791,240799,12,-,YLR046C,240795,240695,240895
398,348576,348584,12,-,SEN2,348580,348480,348680
399,368561,368569,12,-,YLR108C,368565,368465,368665
400,370717,370725,12,-,CCW12,370721,370621,370821
401,388543,388551,12,-,YPS1,388547,388447,388647
402,388548,388551,12,-,YPS1,388550,388450,388650
403,416854,416862,12,-,TIS11,416858,416758,416958
404,440420,440428,12,-,YLR149C,440424,440324,440524
405,510763,510771,12,-,RFX1,510767,510667,510867
406,550336,550344,12,-,COQ9,550340,550240,550440
407,573941,573949,12,-,COA4,573945,573845,574045
408,605305,605313,12,-,CDC42,605309,605209,605409
409,687763,687771,12,-,YCS4,687767,687667,687867
410,783720,783728,12,-,TMA10,783724,783624,783824
411,783724,783732,12,-,TMA10,783728,783628,783828
412,784105,784113,12,-,TMA10,784109,784009,784209
413,830865,830873,12,-,NIT3,830869,830769,830969
414,830884,830892,12,-,NIT3,830888,830788,830988
415,830887,830895,12,-,NIT3,830891,830791,830991
416,954520,954528,12,-,PUN1,954524,954424,954624
417,954522,954530,12,-,PUN1,954526,954426,954626
418,965668,965676,12,-,RPN13,965672,965572,965772
419,260160,260168,13,+,TRM12,260164,260064,260264
420,220082,220090,13,+,TSA1,220086,219986,220186
421,159968,159976,13,+,CMP2,159972,159872,160072
422,137259,137267,13,+,ITT1,137263,137163,137363
423,133321,133329,13,+,DAK1,133325,133225,133425
424,92041,92049,13,+,UFO1,92045,91945,92145
425,33822,33830,13,+,NAB6,33826,33726,33926
426,16871,16879,13,+,RSC9,16875,16775,16975
427,325685,325693,13,+,YMR027W,325689,325589,325789
428,383027,383035,13,+,STV1,383031,382931,383131
429,388467,388475,13,+,FET3,388471,388371,388571
430,396695,396703,13,+,AEP1,396699,396599,396799
431,442384,442392,13,+,PDL32,442388,442288,442488
432,453787,453795,13,+,UTP15,453791,453691,453891
433,465315,465323,13,+,MUB1,465319,465219,465419
434,562969,562977,13,+,YIM1,562973,562873,563073
435,577635,577643,13,+,HLJ1,577639,577539,577739
436,608348,608356,13,+,DDR48,608352,608252,608452
437,611633,611637,13,+,ECM5,611635,611535,611735
438,653241,653248,13,+,ICY1,653244,653144,653344
439,701373,701381,13,+,GUA1,701377,701277,701477
440,795694,795702,13,+,CUE1,795698,795598,795798
441,852155,852163,13,+,TDA1,852159,852059,852259
442,774201,774209,13,+,HOR7,774205,774105,774305
443,608348,608356,13,+,YMR173W-A,608352,608252,608452
444,610844,610852,13,+,SIP18,610848,610748,610948
445,263106,263114,13,-,GLO1,263110,263010,263210
446,263108,263116,13,-,GLO1,263112,263012,263212
447,167521,167529,13,-,CYB2,167525,167425,167625
448,16871,16879,13,-,MSC1,16875,16775,16975
449,302958,302966,13,-,ERG5,302962,302862,303062
450,302965,302973,13,-,ERG5,302969,302869,303069
451,325685,325693,13,-,PEX12,325689,325589,325789
452,343996,344004,13,-,MIH1,344000,343900,344100
453,388467,388475,13,-,AAC1,388471,388371,388571
454,396695,396703,13,-,ARG7,396699,396599,396799
455,453787,453795,13,-,AIP1,453791,453691,453891
456,465315,465323,13,-,YMR099C,465319,465219,465419
457,477902,477910,13,-,PGM2,477906,477806,478006
458,562969,562977,13,-,IMP1,562973,562873,563073
459,625853,625861,13,-,RGM1,625857,625757,625957
460,701373,701381,13,-,SKY1,701377,701277,701477
461,784434,784442,13,-,ROY1,784438,784338,784538
462,852155,852163,13,-,HAS1,852159,852059,852259
463,912262,912270,13,-,ADH6,912266,912166,912366
464,653240,653248,13,-,YMR194C-A,653244,653144,653344
465,610844,610852,13,-,PAI3,610848,610748,610948
466,602450,602458,14,+,PUB1,602454,602354,602554
467,579002,579010,14,+,CRZ1,579006,578906,579106
468,559622,559630,14,+,NCE103,559626,559526,559726
469,510314,510322,14,+,NOP2,510318,510218,510418
470,502979,502987,14,+,AQR1,502983,502883,503083
471,456269,456277,14,+,RHO2,456273,456173,456373
472,456281,456289,14,+,RHO2,456285,456185,456385
473,400604,400612,14,+,NCS2,400608,400508,400708
474,342268,342276,14,+,CUZ1,342272,342172,342372
475,175222,175230,14,+,RAD50,175226,175126,175326
476,122491,122499,14,+,TOF1,122495,122395,122595
477,90048,90056,14,+,CAF40,90052,89952,90152
478,37639,37642,14,+,YNL320W,37640,37540,37740
479,652016,652024,14,+,YNR014W,652020,651920,652120
480,652129,652137,14,+,YNR014W,652133,652033,652233
481,652247,652255,14,+,YNR014W,652251,652151,652351
482,663973,663981,14,+,RCF2,663977,663877,664077
483,739371,739379,14,+,FRE4,739375,739275,739475
484,579002,579010,14,-,KTR5,579006,578906,579106
485,559622,559630,14,-,IDH1,559626,559526,559726
486,510314,510322,14,-,GCD10,510318,510218,510418
487,441089,441097,14,-,RAS2,441093,440993,441193
488,439318,439326,14,-,OCA1,439322,439222,439422
489,400604,400612,14,-,TOM70,400608,400508,400708
490,349946,349954,14,-,PGA2,349950,349850,350050
491,342268,342276,14,-,NSG2,342272,342172,342372
492,310214,310222,14,-,MDG1,310218,310118,310318
