,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,92661,92667,1,+,FRT2,92664,92564,92764
1,92661,92667,1,-,MYO4,92664,92564,92764
2,52937,52943,1,-,AIM2,52940,52840,53040
3,202741,202747,2,+,SCT1,202744,202644,202844
4,147026,147032,2,+,APL3,147029,146929,147129
5,101296,101302,2,+,KIP1,101299,101199,101399
6,63239,63245,2,+,BOI1,63242,63142,63342
7,289130,289136,2,+,SCO2,289133,289033,289233
8,609792,609798,2,+,AIM4,609795,609695,609895
9,728261,728267,2,+,POP4,728264,728164,728364
10,680204,680210,2,+,COQ21,680207,680107,680307
11,101296,101302,2,-,PRX1,101299,101199,101399
12,80878,80884,2,-,ATG8,80881,80781,80981
13,63239,63245,2,-,YBL086C,63242,63142,63342
14,369875,369881,2,-,ECM2,369878,369778,369978
15,609792,609798,2,-,MED8,609795,609695,609895
16,680204,680210,2,-,OM14,680207,680107,680307
17,728261,728267,2,-,RIB5,728264,728164,728364
18,165293,165299,2,-,YBL029C-A,165296,165196,165396
19,120641,120647,3,-,YCP4,120644,120544,120744
20,223757,223763,3,-,PWP2,223760,223660,223860
21,437883,437889,4,+,RPT2,437886,437786,437986
22,432172,432178,4,+,GRX6,432175,432075,432275
23,411444,411450,4,+,GPD1,411447,411347,411547
24,377975,377981,4,+,YDL041W,377978,377878,378078
25,212928,212934,4,+,RGT2,212931,212831,213031
26,117473,117479,4,+,RPL35A,117476,117376,117576
27,111263,111269,4,+,SNF3,111266,111166,111366
28,106746,106752,4,+,SEC31,106749,106649,106849
29,38354,38360,4,+,OST4,38357,38257,38457
30,524823,524829,4,+,KRS1,524826,524726,524926
31,546545,546551,4,+,HEM13,546548,546448,546648
32,600218,600224,4,+,SED1,600221,600121,600321
33,600234,600240,4,+,SED1,600237,600137,600337
34,657624,657630,4,+,STE5,657627,657527,657727
35,751464,751470,4,+,EKI1,751467,751367,751567
36,755403,755409,4,+,NUM1,755406,755306,755506
37,930840,930846,4,+,LYS4,930843,930743,930943
38,998523,998529,4,+,PEX10,998526,998426,998626
39,1056467,1056473,4,+,SUR2,1056470,1056370,1056570
40,1228430,1228436,4,+,ATP17,1228433,1228333,1228533
41,1229738,1229744,4,+,RGA2,1229741,1229641,1229841
42,1258640,1258646,4,+,SPT3,1258643,1258543,1258743
43,372098,372104,4,+,MRP10,372101,372001,372201
44,1490404,1490410,4,+,SNA2,1490407,1490307,1490507
45,946391,946397,4,+,AMD2,946394,946294,946494
46,432172,432178,4,-,YDL012C,432175,432075,432275
47,407957,407963,4,-,RTK1,407960,407860,408060
48,219461,219467,4,-,RDI1,219464,219364,219564
49,106746,106752,4,-,ASF2,106749,106649,106849
50,29300,29306,4,-,ADY3,29303,29203,29403
51,478880,478886,4,-,DAD1,478883,478783,478983
52,485974,485980,4,-,GCV1,485977,485877,486077
53,524823,524829,4,-,EHD3,524826,524726,524926
54,644041,644047,4,-,MSH6,644044,643944,644144
55,657624,657630,4,-,ARX1,657627,657527,657727
56,751464,751470,4,-,SWI5,751467,751367,751567
57,755403,755409,4,-,KGD2,755406,755306,755506
58,835550,835556,4,-,SND1,835553,835453,835653
59,930840,930846,4,-,RTN1,930843,930743,930943
60,945578,945584,4,-,SNU56,945581,945481,945681
61,970150,970156,4,-,CTA1,970153,970053,970253
62,998523,998529,4,-,AKR1,998526,998426,998626
63,1080544,1080550,4,-,GIC2,1080547,1080447,1080647
64,1229738,1229744,4,-,LSM6,1229741,1229641,1229841
65,1258640,1258646,4,-,YDR391C,1258643,1258543,1258743
66,1459593,1459599,4,-,PSP1,1459596,1459496,1459696
67,1490404,1490410,4,-,YDR524C-A,1490407,1490307,1490507
68,131542,131548,5,+,UBC8,131545,131445,131645
69,116022,116028,5,+,URA3,116025,115925,116125
70,192168,192174,5,+,ISC1,192171,192071,192271
71,194746,194752,5,+,GPA2,194749,194649,194849
72,302656,302662,5,+,VTC1,302659,302559,302759
73,342722,342728,5,+,IES5,342725,342625,342825
74,526723,526729,5,+,RAD3,526726,526626,526826
75,42226,42232,5,-,PRB1,42229,42129,42329
76,42284,42290,5,-,PRB1,42287,42187,42387
77,192168,192174,5,-,AFG3,192171,192071,192271
78,242252,242258,5,-,ACA1,242255,242155,242355
79,302656,302662,5,-,TDA2,302659,302559,302759
80,342722,342728,5,-,MET6,342725,342625,342825
81,395156,395162,5,-,SPR6,395159,395059,395259
82,395754,395760,5,-,SPR6,395757,395657,395857
83,442173,442179,5,-,YER137C,442176,442076,442276
84,491248,491254,5,-,YER158C,491251,491151,491351
85,194746,194752,5,-,SBH2,194749,194649,194849
86,106631,106637,6,+,HSP12,106634,106534,106734
87,76633,76639,6,+,AGX1,76636,76536,76736
88,57984,57990,6,+,RPO41,57987,57887,58087
89,210622,210628,6,+,PTR3,210625,210525,210725
90,167516,167522,6,+,YFR012W-A,167519,167419,167619
91,106631,106637,6,-,MDJ1,106634,106534,106734
92,167516,167522,6,-,MIC19,167519,167419,167619
93,183620,183626,6,-,IGD1,183623,183523,183723
94,210622,210628,6,-,CDC14,210625,210525,210725
95,413146,413152,7,+,RIM8,413149,413049,413249
96,398042,398048,7,+,OLE1,398045,397945,398145
97,398060,398066,7,+,OLE1,398063,397963,398163
98,255429,255435,7,+,PCL10,255432,255332,255532
99,123483,123489,7,+,YIP4,123486,123386,123586
100,500016,500022,7,+,CUL3,500019,499919,500119
101,547480,547486,7,+,GSC2,547483,547383,547583
102,592652,592658,7,+,FMP48,592655,592555,592755
103,715672,715678,7,+,YGR111W,715675,715575,715775
104,779612,779618,7,+,THI4,779615,779515,779715
105,932121,932127,7,+,CRM1,932124,932024,932224
106,433379,433385,7,-,MIG1,433382,433282,433482
107,398042,398048,7,-,SDS23,398045,397945,398145
108,398060,398066,7,-,SDS23,398063,397963,398163
109,236057,236063,7,-,MRF1,236060,235960,236160
110,123483,123489,7,-,EMP24,123486,123386,123586
111,500016,500022,7,-,SWC4,500019,499919,500119
112,559533,559539,7,-,CAX4,559536,559436,559636
113,592652,592658,7,-,YGR050C,592655,592555,592755
114,620077,620083,7,-,VHT1,620080,619980,620180
115,846434,846440,7,-,CBP4,846437,846337,846537
116,846435,846441,7,-,CBP4,846438,846338,846538
117,855029,855035,7,-,OKP1,855032,854932,855132
118,56091,56097,8,+,RIM4,56094,55994,56194
119,50825,50831,8,+,RIM101,50828,50728,50928
120,207383,207389,8,+,SMF2,207386,207286,207486
121,341910,341916,8,+,TOM71,341913,341813,342013
122,131720,131726,8,-,ARD1,131723,131623,131823
123,297153,297159,8,-,HXT5,297156,297056,297256
124,341910,341916,8,-,DMA1,341913,341813,342013
125,249399,249405,9,+,VHR1,249402,249302,249502
126,249148,249154,9,-,RGI2,249151,249051,249251
127,249399,249405,9,-,RGI2,249402,249302,249502
128,352310,352316,10,+,AIM22,352313,352213,352413
129,246418,246424,10,+,MRPL49,246421,246321,246521
130,184305,184311,10,+,NIT2,184308,184208,184408
131,79580,79586,10,+,MNN5,79583,79483,79683
132,535626,535632,10,+,KCH1,535629,535529,535729
133,609191,609197,10,+,SFC1,609194,609094,609294
134,725585,725591,10,+,AAD10,725588,725488,725688
135,352310,352316,10,-,RTT101,352313,352213,352413
136,195355,195361,10,-,NCA3,195358,195258,195458
137,184305,184311,10,-,SPT10,184308,184208,184408
138,79580,79586,10,-,SWE1,79583,79483,79683
139,41863,41869,10,-,NUC1,41866,41766,41966
140,542959,542965,10,-,YJR056C,542962,542862,543062
141,578751,578757,10,-,MIR1,578754,578654,578854
142,272867,272873,11,+,MIF2,272870,272770,272970
143,231315,231321,11,+,HAP4,231318,231218,231418
144,231481,231487,11,+,HAP4,231484,231384,231584
145,231482,231488,11,+,HAP4,231485,231385,231585
146,166331,166337,11,+,MCR1,166334,166234,166434
147,99863,99869,11,+,FAS1,99866,99766,99966
148,552504,552510,11,+,GLG1,552507,552407,552607
149,630711,630717,11,+,PCK1,630714,630614,630814
150,166331,166337,11,-,NNR2,166334,166234,166434
151,91998,92004,11,-,FAT3,92001,91901,92101
152,67938,67944,11,-,MNN4,67941,67841,68041
153,81193,81199,12,+,FRA1,81196,81096,81296
154,65369,65375,12,+,YLL037W,65372,65272,65472
155,253462,253468,12,+,ERG3,253465,253365,253565
156,504272,504278,12,+,IDP2,504275,504175,504375
157,553934,553940,12,+,ENT2,553937,553837,554037
158,665153,665159,12,+,LCB5,665156,665056,665256
159,784029,784035,12,+,NMA1,784032,783932,784132
160,1028504,1028510,12,+,RPL6B,1028507,1028407,1028607
