,preds
Gcn4_PIP2_12,395.0548505582847
Msn2_PIP2_12,346.43398557510227
Msn2_RDS1_12,323.7432177131996
Msn2_YKL222C_12,302.2960689389147
Msn2_SEF1_12,301.2312585511245
Msn2_RPN4_DPN_9,199.07916699070483
Gcn4_Gal4AD,192.8128209747374
Msn2_SUM1_DPN_9,180.2392091397196
Msn2_Gal4AD,174.9598461658461
Msn2_RPN4_DPN_8,142.07091745454818
Msn2_HCM1_DPN_6,138.19901338545606
Msn2_Gcn4AD,100.3660682896152
Gcn4_Gcn4AD,99.3883444108069
Msn2_noAD,0.0
