,Start,End,Chromosome,Strand,Name,motif_middle,start_sig,stop_sig
0,10705,10712,1,+,YAL064W-B,10708,10608,10808
1,53218,53225,1,-,AIM2,53222,53122,53322
2,449433,449440,2,+,YMC2,449436,449336,449536
3,561185,561192,2,+,CSH1,561188,561088,561288
4,217097,217104,2,-,SLA1,217100,217000,217200
5,186585,186592,2,-,POP8,186588,186488,186688
6,267514,267521,2,-,GRX7,267518,267418,267618
7,369818,369825,2,-,ECM2,369822,369722,369922
8,356713,356720,2,-,TSC3,356716,356616,356816
9,152324,152331,3,+,MAK32,152328,152228,152428
10,44526,44533,3,-,POF1,44530,44430,44630
11,122517,122524,3,-,CIT2,122520,122420,122620
12,168425,168432,3,-,RHB1,168428,168328,168528
13,177110,177117,3,-,SYP1,177114,177014,177214
14,223563,223570,3,-,PWP2,223566,223466,223666
15,303530,303537,3,-,EMA35,303534,303434,303634
16,371057,371064,4,+,NPC2,371060,370960,371160
17,89978,89985,4,+,YDL206W,89982,89882,90082
18,65134,65141,4,+,DTD1,65138,65038,65238
19,32107,32114,4,+,PHO13,32110,32010,32210
20,22601,22608,4,+,LRG1,22604,22504,22704
21,592110,592117,4,+,SNF11,592114,592014,592214
22,933368,933375,4,+,PRP42,933372,933272,933472
23,1011426,1011433,4,+,BSC2,1011430,1011330,1011530
24,1269645,1269652,4,+,HPT1,1269648,1269548,1269748
25,1497871,1497878,4,+,CAB1,1497874,1497774,1497974
26,1498059,1498066,4,+,CAB1,1498062,1497962,1498162
27,946252,946259,4,+,AMD2,946256,946156,946356
28,1224417,1224424,4,+,WIP1,1224420,1224320,1224520
29,76988,76995,4,-,PRR2,76992,76892,77092
30,65134,65141,4,-,CDC13,65138,65038,65238
31,592110,592117,4,-,IPT1,592114,592014,592214
32,616581,616588,4,-,AFR1,616584,616484,616684
33,1460076,1460083,4,-,PSP1,1460080,1459980,1460180
34,1497871,1497878,4,-,APA2,1497874,1497774,1497974
35,1498059,1498066,4,-,APA2,1498062,1497962,1498162
36,160319,160326,5,+,YND1,160322,160222,160422
37,192148,192155,5,+,ISC1,192152,192052,192252
38,222555,222562,5,+,EDC2,222558,222458,222658
39,328227,328234,5,+,ILV1,328230,328130,328330
40,468093,468100,5,+,SPI1,468096,467996,468196
41,250227,250234,5,+,ISD11,250230,250130,250330
42,333031,333038,5,+,YER088W-B,333034,332934,333134
43,192148,192155,5,-,AFG3,192152,192052,192252
44,248396,248403,5,-,CAJ1,248400,248300,248500
45,248906,248913,5,-,CAJ1,248910,248810,249010
46,280929,280936,5,-,GPP2,280932,280832,281032
47,311559,311566,5,-,PTP3,311562,311462,311662
48,328227,328234,5,-,YER085C,328230,328130,328330
49,395514,395521,5,-,SPR6,395518,395418,395618
50,468093,468100,5,-,PEA2,468096,467996,468196
51,333031,333032,5,-,SBH1,333032,332932,333132
52,123208,123211,6,+,BLM10,123210,123110,123310
53,115915,115922,6,+,CDC4,115918,115818,116018
54,115915,115922,6,-,WWM1,115918,115818,116018
55,23203,23210,6,-,AQY3,23206,23106,23306
56,208725,208732,7,+,ARI1,208728,208628,208828
57,206292,206299,7,+,RCK1,206296,206196,206396
58,92309,92316,7,+,NCS6,92312,92212,92412
59,592743,592750,7,+,FMP48,592746,592646,592846
60,726691,726698,7,+,RPS23A,726694,726594,726794
61,780101,780108,7,+,THI4,780104,780004,780204
62,857645,857652,7,+,TIM13,857648,857548,857748
63,947228,947235,7,+,DIE2,947232,947132,947332
64,977057,977064,7,+,MPC3,977060,976960,977160
65,479301,479308,7,-,LEU1,479304,479204,479404
66,401652,401659,7,-,ERV14,401656,401556,401756
67,330747,330754,7,-,VPS45,330750,330650,330850
68,592743,592750,7,-,YGR050C,592746,592646,592846
69,707231,707238,7,-,CLB6,707234,707134,707334
70,726691,726698,7,-,YGR117C,726694,726594,726794
71,787146,787153,7,-,NAT2,787150,787050,787250
72,875516,875523,7,-,BUB1,875520,875420,875620
73,977057,977064,7,-,YAP1802,977060,976960,977160
74,190226,190233,8,+,NCP1,190230,190130,190330
75,206200,206207,8,+,FSH1,206204,206104,206304
76,267250,267257,8,+,LRP1,267254,267154,267354
77,323192,323199,8,+,GRE3,323196,323096,323296
78,502172,502179,8,+,YHR202W,502176,502076,502276
79,63043,63050,8,-,NPR3,63046,62946,63146
80,190226,190233,8,-,SRB2,190230,190130,190330
81,267250,267257,8,-,LAM4,267254,267154,267354
82,314933,314940,8,-,GEP4,314936,314836,315036
83,471603,471610,8,-,YHR182C-A,471606,471506,471706
84,142691,142698,9,+,HIS5,142694,142594,142794
85,36760,36767,9,+,SUC2,36764,36664,36864
86,295025,295032,9,+,YIL030W-A,295028,294928,295128
87,295098,295105,9,+,YIL030W-A,295102,295002,295202
88,205256,205263,9,-,CAB2,205260,205160,205360
89,42036,42043,9,-,POT1,42040,41940,42140
90,323236,323243,10,+,BNA3,323240,323140,323340
91,278735,278742,10,+,TAX4,278738,278638,278838
92,220438,220445,10,+,IME2,220442,220342,220542
93,31418,31425,10,+,YJL213W,31422,31322,31522
94,21535,21542,10,+,YJL218W,21538,21438,21638
95,612273,612280,10,+,JJJ3,612276,612176,612376
96,607931,607938,10,+,RPL43B,607934,607834,608034
97,278735,278742,10,-,ALY2,278738,278638,278838
98,220438,220445,10,-,YJL107C,220442,220342,220542
99,518033,518040,10,-,POL32,518036,517936,518136
100,365162,365169,11,+,RGT1,365166,365066,365266
101,356337,356344,11,+,PHD1,356340,356240,356440
102,260736,260743,11,+,CWP1,260740,260640,260840
103,235865,235872,11,+,YKL107W,235868,235768,235968
104,202940,202947,11,+,PGM1,202944,202844,203044
105,203249,203256,11,+,PGM1,203252,203152,203352
106,150898,150905,11,-,KDX1,150902,150802,151002
107,151215,151222,11,-,KDX1,151218,151118,151318
108,136072,136079,11,-,TPK3,136076,135976,136176
109,45788,45795,11,-,STE6,45792,45692,45892
110,527832,527839,11,-,FMP46,527836,527736,527936
111,533618,533625,11,-,MRS4,533622,533522,533722
112,65664,65671,12,+,YLL037W,65668,65568,65768
113,368354,368361,12,+,AHP1,368358,368258,368458
114,392674,392681,12,+,YLR125W,392678,392578,392778
115,548941,548948,12,+,YKE2,548944,548844,549044
116,830482,830489,12,+,LUG1,830486,830386,830586
117,855209,855216,12,+,RPS22B,855212,855112,855312
118,65664,65671,12,-,UBI4,65668,65568,65768
